#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      572.7  1532.3   187.4   257.1   281.5   446.5   496.6   523.2   542.0   565.8   594.0   661.8  4159.0 31007.6 37301.5   4969.8     5000
read      601.2  1090.8   173.5   240.7   266.9   513.0   599.4   646.3   682.5   726.3   784.6   885.8  3362.8 15248.5 36934.0   9986.8    10000
read      614.1   928.5   173.5   233.9   257.8   518.8   632.6   700.5   750.4   808.2   874.1   986.3  3106.0  8635.8 34710.3  14959.0    15000
read      673.5  1003.5   173.5   234.7   265.2   570.9   682.1   753.1   811.1   876.2   949.5  1077.7  3469.6 12601.1 35451.9  19913.2    20000
read      668.7   995.7   173.5   235.5   264.0   555.9   676.2   760.1   829.9   907.9  1001.8  1156.0  3414.5 11042.4 32449.9  24837.6    25000
read      692.9   969.1   173.5   236.3   264.5   591.3   712.4   788.0   847.2   919.2  1011.0  1173.5  3746.5 11362.4 32403.2  29918.9    30000
read      705.6   972.7   173.5   238.2   267.1   603.8   732.9   807.0   865.8   937.9  1034.4  1211.4  3450.6 10198.7 32261.6  34900.2    35000
read      678.1   855.5   160.7   237.7   267.1   590.2   725.8   803.7   860.3   929.0  1021.6  1183.5  2154.2  9327.4 32028.3  40054.8    40000
read      734.0  1003.5   173.5   249.0   283.2   609.8   762.3   850.3   913.5   989.8  1094.0  1354.6  3620.8 10610.6 35984.6  44892.0    45000
read      833.0   904.7   173.5   278.6   338.1   742.3   894.0   970.9  1025.7  1098.0  1240.3  1621.5  2420.0 10561.6 31755.1  49839.4    50000
read      803.3   803.4   173.5   272.2   330.9   716.5   851.5   923.9   987.2  1086.2  1303.5  1588.2  2334.0  8052.0 31621.7  54955.4    55000
read     1235.3   971.8   173.5   825.3   875.4  1024.8  1096.3  1178.6  1520.9  1801.2  1928.4  2056.4  2904.3 12905.5 32518.1  54297.4    60000
read     1304.9  1050.8   187.4   883.3   929.1  1079.1  1156.2  1227.6  1416.3  1899.6  2033.8  2173.4  3412.9 14618.9 32315.2  51719.4    65000
read     1218.0   916.4   187.4   827.1   874.3  1008.5  1084.7  1172.1  1490.3  1794.9  1913.4  2027.1  2717.8 12046.7 31949.4  55087.4    70000
