#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      350.1   254.5   173.5   236.9   249.9   324.4   362.2   384.3   400.4   421.5   447.9   491.1   652.4  3206.2 10913.6  30056.5    30000
read      344.1   288.8   173.5   233.1   246.0   316.2   351.0   372.1   389.6   409.7   435.7   479.1   645.2  4250.6 12437.3  30000.8    30010
read      351.3   259.1   173.5   240.0   254.6   325.3   361.0   382.2   398.4   419.2   445.7   488.7   636.6  3605.7 10589.0  30017.7    30020
read      337.8   245.9   173.5   234.5   246.4   311.7   343.7   364.8   380.6   400.9   428.2   469.0   624.2  3521.9  9241.2  30087.3    30030
read      352.6   267.8   173.5   240.8   255.5   325.8   361.1   382.3   398.4   418.9   444.9   489.2   674.4  3584.6 11282.1  30024.1    30040
read      353.2   464.1   173.5   241.3   255.6   324.2   360.2   381.8   398.6   420.1   447.5   491.5   661.6  3998.4 10623.0  30018.7    30050
read      351.6   267.9   173.5   237.7   251.7   325.0   361.7   383.6   400.2   421.9   449.2   492.2   644.9  3894.6 10867.4  30131.1    30060
read      356.6   262.1   173.5   241.0   256.5   330.4   365.9   387.6   403.0   424.6   451.9   497.3   688.1  3583.9 10702.8  30032.2    30070
read      347.9   253.0   173.5   240.1   254.2   322.2   356.4   376.5   393.5   413.2   438.7   482.3   640.9  3301.3 10705.1  30090.6    30080
read      349.8   272.5   173.5   236.8   250.2   322.0   358.3   380.0   397.2   418.7   446.2   490.2   659.1  3764.2 11509.8  30064.4    30090
read      360.9   241.4   187.4   249.1   263.1   336.6   371.6   393.2   408.6   429.0   455.8   498.4   655.1  3386.7  9485.4  30098.6    30100
read      354.5   462.1   173.5   241.4   256.3   327.6   363.3   385.2   401.4   423.3   451.1   495.2   647.8  3543.6 10655.1  30068.2    30110
read      348.4   265.0   173.5   236.8   250.4   322.4   358.7   380.3   397.1   418.0   444.9   489.3   639.1  3220.3 11614.3  30056.8    30120
read      354.0   256.0   173.5   241.8   256.6   328.4   364.0   385.4   400.9   421.8   448.2   492.0   659.0  3609.5 10237.7  30140.6    30130
read      348.6   280.0   173.5   236.8   250.1   320.7   356.6   377.6   395.1   416.1   443.0   487.7   642.0  3863.3 12305.7  30196.0    30140
read      343.1   266.3   173.5   234.6   247.4   316.3   350.2   371.1   388.0   407.0   433.7   477.2   649.7  3658.1 12077.2  30141.8    30150
read      342.8   267.5   173.5   231.4   245.3   315.8   351.0   372.6   390.4   410.9   437.5   481.8   630.2  3953.3 10467.3  30193.6    30160
read      351.2   282.1   173.5   237.0   250.4   323.5   360.2   382.0   398.6   419.7   446.4   490.2   659.3  3872.9 12188.9  30137.5    30170
read      356.4   270.2   173.5   240.5   255.8   330.0   366.5   388.7   404.2   426.3   454.4   500.8   679.0  3456.6 10840.4  30189.7    30180
read      354.4   257.5   173.5   242.2   257.2   330.3   365.6   386.7   401.7   422.0   447.2   489.5   643.0  3488.1 10615.5  30232.1    30190
read      352.3   290.0   173.5   238.5   252.7   325.3   361.6   383.2   399.2   419.9   446.6   491.2   650.6  3850.9 14087.8  30251.4    30200
read      351.3   466.0   173.5   238.8   253.1   322.2   357.6   378.7   395.8   416.7   444.3   491.4   676.1  3722.8 11881.3  30219.6    30210
read      350.3   290.0   173.5   238.0   251.6   322.1   358.0   379.2   396.1   416.6   443.3   489.0   665.5  3901.9 12608.1  30215.8    30220
read      354.0   268.7   173.5   238.0   252.1   325.3   363.7   386.6   402.8   425.2   454.2   501.2   677.2  3774.0 11249.9  30204.0    30230
read      352.3   252.8   173.5   240.8   255.7   327.1   362.9   384.1   399.6   419.7   444.9   489.0   665.6  3285.5  9859.8  30195.5    30240
read      346.9   276.5   173.5   234.6   248.1   320.1   356.4   377.8   395.0   415.4   441.8   487.3   640.5  3584.9 11176.2  30267.4    30250
read      349.8   250.8   173.5   237.8   252.1   324.7   360.6   382.0   398.4   419.1   445.4   489.8   652.3  3300.3 10888.7  30199.1    30260
