#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      355.8   264.4   173.5   236.2   250.5   329.3   368.0   390.7   406.4   427.5   455.0   501.9   690.8  3750.7 10436.6  29933.3    30000
read      348.3   251.7   173.5   234.0   247.4   320.8   359.5   382.3   399.1   420.0   446.3   490.8   662.5  3458.2  9143.4  29985.0    30010
read      348.5   256.0   173.5   234.2   247.7   321.9   361.1   384.2   400.8   421.5   446.9   488.8   641.2  3418.1 10400.3  30012.0    30020
read      350.6   359.1   173.5   236.4   249.7   323.3   363.2   387.2   403.8   425.6   452.5   495.4   658.4  3208.8  9709.4  30078.7    30030
read      356.9   258.0   173.5   239.0   254.3   329.6   368.0   391.4   408.1   429.5   457.3   502.2   692.4  3656.0  9587.6  30008.9    30040
read      344.2   260.2   173.5   232.4   245.9   317.1   353.0   374.4   392.5   413.2   439.6   484.0   650.1  3627.7 10082.9  30007.7    30050
read      349.3   255.6   173.5   234.3   247.5   320.3   358.5   381.7   399.4   422.1   451.4   499.1   674.9  3472.4  9438.7  30084.8    30060
read      341.8   270.7   173.5   231.1   244.2   315.0   350.5   372.0   389.1   408.3   433.9   476.4   648.7  3936.9 10799.8  30000.7    30070
read      352.0   249.4   173.5   237.5   251.7   326.2   362.9   385.0   401.2   422.8   450.5   496.1   662.5  3459.8  9481.9  30099.1    30080
read      347.1   278.8   173.5   232.2   245.8   319.7   357.8   380.0   397.0   417.8   444.3   490.3   662.5  3482.8 11426.0  30115.2    30090
read      347.7   256.5   173.5   230.6   244.6   319.5   358.5   381.5   398.6   420.1   447.6   494.2   682.5  3542.6  9816.2  30100.5    30100
read      338.4   260.4   173.5   231.4   244.1   310.9   344.9   367.3   384.1   403.4   431.2   474.3   638.9  3491.5 10593.8  30091.4    30110
read      348.7   250.6   173.5   234.2   247.9   320.8   358.6   381.3   398.6   420.7   449.2   495.7   680.1  3568.6  9279.2  30199.6    30120
read      346.0   260.1   173.5   233.3   246.2   317.7   356.0   378.7   396.5   418.2   446.5   493.0   656.1  3366.8 10239.6  30114.4    30130
read      344.1   261.7   173.5   232.5   245.8   316.5   352.2   373.9   391.5   411.4   437.3   484.9   673.1  3485.8 10786.1  30125.8    30140
read      352.0   264.8   173.5   237.0   250.5   325.6   363.2   385.4   401.5   422.8   449.6   494.1   666.9  3653.4 10863.9  30211.4    30150
read      361.0   451.6   173.5   241.4   256.1   330.9   370.2   394.4   412.3   433.8   464.3   518.9   761.0  3410.2  9745.1  30178.2    30160
read      354.6   246.9   173.5   239.6   254.4   329.4   366.6   388.7   403.9   424.8   451.1   495.3   662.6  3625.5  9299.3  30209.6    30170
read      344.3   274.7   173.5   231.9   245.1   315.6   351.3   373.3   391.3   412.2   440.0   489.6   683.4  3537.0 11989.9  30145.6    30180
read      349.7   248.7   173.5   237.6   251.4   323.7   359.5   380.9   397.6   418.6   445.9   492.6   675.8  3350.8 11024.1  30209.7    30190
