#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      271.1   205.3    86.8   149.1   164.9   253.3   292.6   313.1   327.7   344.4   369.1   415.8   584.8  2417.8  8088.0  29899.2    30000
read      270.0   225.3    80.4   149.4   164.5   248.9   287.6   309.4   324.9   343.9   369.9   416.2   575.0  3084.5  8255.5  30016.8    30010
read      270.3   202.6    86.8   148.1   163.0   249.1   292.0   314.8   330.9   348.9   374.0   423.5   585.7  2772.5  7778.1  29978.7    30020
read      275.0   227.5    86.8   147.7   163.3   256.3   298.0   318.5   333.8   351.1   375.4   426.0   600.3  2917.2  8313.9  29987.7    30030
read      273.0   202.4    86.8   148.6   164.0   251.8   292.1   314.3   330.5   349.4   377.9   434.0   617.9  2653.2  7866.2  30111.1    30040
read      279.1   207.6    80.4   147.2   163.1   256.5   301.9   327.6   346.2   369.3   398.1   446.9   615.5  2628.8  8242.2  30025.1    30050
read      279.8   233.3    80.4   144.0   160.0   255.8   304.4   330.5   348.0   369.0   396.1   445.1   630.4  2970.2  8120.3  30047.4    30060
read      271.4   205.6    86.8   147.9   163.1   248.4   289.1   313.0   331.2   353.7   385.3   439.5   610.3  2427.8  7922.1  30001.0    30070
read      285.6   195.6    86.8   152.2   168.0   260.6   305.8   333.3   354.3   379.6   412.1   465.5   643.0  2631.1  7711.8  30092.8    30080
read      273.3   199.7    86.8   148.5   163.4   251.7   294.5   318.7   336.6   357.5   384.9   431.7   598.7  2621.8  8010.3  30094.7    30090
read      270.1   191.9    86.8   151.4   166.3   249.3   288.6   310.6   326.5   345.6   372.0   420.0   587.3  2695.7  7759.3  30119.5    30100
read      266.4   212.0    80.4   147.4   162.5   244.2   282.7   305.1   321.2   342.2   369.2   415.9   591.8  2631.8  7778.1  30090.0    30110
read      260.8   207.3    80.4   143.2   158.1   238.2   276.4   298.0   314.9   335.7   364.2   412.6   577.6  2656.8  8321.9  30070.3    30120
read      265.4   232.3    80.4   147.2   162.3   244.4   282.0   303.8   319.5   339.6   365.7   408.4   572.5  2731.0  8715.5  30165.3    30130
