#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      366.9   283.6   173.5   245.7   261.9   340.6   377.2   399.3   416.4   435.6   462.9   505.5   685.3  4055.8 11518.7  29988.6    30000
read      370.6   267.2   173.5   249.8   265.6   346.9   384.0   404.3   421.3   439.2   464.8   506.4   681.5  3896.1 10527.8  29981.8    30010
read      359.0   266.0   173.5   239.6   256.0   334.6   371.7   394.1   410.2   430.2   457.0   500.1   655.7  3644.1 11240.2  30086.6    30020
read      352.4   270.8   173.5   238.4   253.6   326.2   361.2   382.3   398.3   418.9   445.3   490.3   655.6  3765.8 10558.9  30008.2    30030
read      361.6   273.0   173.5   241.5   257.8   335.3   371.6   394.1   410.3   430.8   458.3   502.2   680.2  4173.4 10895.6  30015.8    30040
read      360.9   262.0   173.5   242.1   258.2   335.7   372.1   394.5   410.6   430.8   457.6   501.0   677.7  3415.9 10445.1  30009.3    30050
read      354.2   293.5   160.7   237.0   251.9   326.0   361.8   383.5   399.9   421.3   449.1   496.0   686.2  4434.4 11054.4  30057.4    30060
read      360.3   281.4   173.5   241.9   258.0   333.4   368.7   390.8   406.3   428.2   456.6   503.2   686.9  3827.9 11035.0  30035.9    30070
read      364.5   264.9   173.5   243.3   259.6   339.3   375.4   397.3   413.7   433.4   461.2   505.1   689.0  3819.5 10767.1  29985.6    30080
read      344.7   258.6   173.5   235.6   249.1   318.5   351.3   371.5   388.4   407.5   434.5   478.7   639.2  4006.7  9837.3  30105.4    30090
read      356.7   263.0   173.5   239.6   255.5   330.9   366.5   388.1   403.4   425.2   453.0   498.3   672.7  3724.2 10888.2  30094.7    30100
read      345.8   261.5   173.5   233.8   247.4   319.5   355.4   376.4   393.7   414.0   441.0   487.3   637.8  3623.4 10356.2  30119.2    30110
read      365.8   281.9   173.5   243.3   259.9   341.1   376.8   398.0   414.0   432.9   459.9   502.6   680.7  4572.5 10410.6  30154.7    30120
read      372.5   263.4   173.5   246.3   263.7   347.4   385.1   406.1   424.0   444.4   471.0   519.9   710.0  3789.7  9810.6  30121.0    30130
read      349.3   268.1   160.7   235.9   250.2   322.6   357.0   377.0   393.7   413.3   439.4   486.1   665.0  3765.9 10648.8  30157.4    30140
read      349.6   276.3   173.5   235.7   249.9   323.0   358.2   378.8   395.3   415.4   441.8   488.1   659.9  3747.0 11778.2  30133.4    30150
read      369.7   278.2   173.5   245.5   262.0   344.3   381.8   402.5   419.6   437.8   465.5   509.4   696.3  3946.5 11983.8  30164.8    30160
read      364.8   255.0   173.5   242.2   259.3   342.2   379.1   400.1   416.3   434.2   460.7   503.0   673.8  3402.9 10774.3  30186.6    30170
read      361.8   289.4   173.5   240.0   256.8   336.4   372.8   394.8   410.4   429.8   456.0   499.6   678.6  4105.9 12075.9  30218.2    30180
