./mcperf -s $MEMCACHED_IP -a $INTERNAL_AGENT_A_IP -a $INTERNAL_AGENT_B_IP --noload -T 6 -C 4 -D 4 -Q 1000 -c 4 -t 20 --scan 30000:30500:10
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      322.9   266.3   160.7   220.5   231.7   293.9   327.7   349.2   366.6   387.1   413.5   457.7   622.2  3601.0 10553.3  30022.2    30000
read      324.5   253.9   173.5   222.5   234.6   295.8   329.4   350.4   367.7   388.6   415.6   460.2   630.0  3468.1 10077.2  30041.3    30010
read      324.3   253.0   160.7   221.4   233.4   295.1   329.2   350.7   368.6   390.8   418.9   462.1   622.2  3779.4  9325.3  30032.9    30020
read      322.4   244.5   160.7   221.5   232.8   293.7   327.2   348.3   365.9   386.9   414.3   460.1   638.0  3482.1  9744.6  30008.2    30030
read      315.1   241.3   160.7   216.1   226.4   286.4   318.8   340.5   357.5   377.9   404.1   450.9   636.3  3528.5  9795.8  30014.7    30040
read      314.5   250.3   160.7   214.0   225.0   286.2   319.1   340.9   357.9   378.1   404.3   449.7   621.0  3590.8  9654.6  30075.7    30050
read      326.1   266.3   160.7   221.2   232.9   296.3   331.1   352.8   369.9   391.8   420.1   466.6   639.3  3734.3 11068.0  30047.5    30060
read      322.5   243.7   160.7   220.4   231.0   293.6   328.2   349.5   367.2   388.7   416.9   463.3   636.9  3450.3 10374.8  30054.6    30070
read      317.7   248.0   160.7   219.0   228.7   290.2   323.2   344.3   361.2   380.5   405.6   452.5   625.0  3435.2 10511.6  30081.3    30080
read      313.6   246.5   160.7   216.3   226.4   285.6   317.9   339.4   355.9   375.2   401.5   445.8   611.9  3400.5 10469.3  30154.2    30090
read      324.3   244.9   173.5   222.4   234.2   296.9   331.4   352.4   369.1   389.4   415.3   458.7   629.7  3371.2 10157.6  30065.4    30100
read      324.4   263.8   160.7   219.4   230.0   293.6   328.4   350.1   367.7   389.4   418.5   467.1   667.5  3537.6 10853.9  30139.4    30110
read      333.3   261.5   160.7   225.4   238.4   303.3   338.1   360.3   376.7   398.6   427.9   476.6   685.6  3778.7  9890.0  30084.1    30120
read      317.9   243.0   160.7   220.5   230.8   290.0   322.1   343.4   360.4   380.3   406.0   451.9   627.1  3412.4 10696.5  30148.1    30130
read      321.7   367.7   160.7   220.8   231.7   293.6   327.2   347.8   365.1   385.2   411.1   455.8   630.1  3488.9 10350.4  30168.8    30140
read      320.7   361.0   160.7   221.9   233.2   292.2   324.7   345.7   363.0   383.0   408.8   453.1   625.0  3331.2  9975.9  30107.3    30150
read      311.6   244.2   160.7   217.8   227.4   285.5   315.9   335.7   350.4   369.8   395.3   434.6   590.9  3421.7  9824.2  30169.6    30160
read      327.0   248.6   160.7   221.3   233.0   297.1   332.9   355.2   372.3   394.7   424.3   472.1   661.8  3615.2 10171.9  30140.8    30170
read      334.3   259.3   160.7   225.6   238.7   304.7   339.5   362.1   379.1   401.0   430.6   480.9   674.6  3711.2 10874.1  30214.1    30180
read      336.8   254.2   160.7   225.8   239.0   307.2   343.2   366.1   383.6   404.1   433.4   485.1   683.9  3635.2 10101.8  30187.5    30190
read      331.0   266.9   160.7   222.9   235.3   299.2   334.9   357.5   374.3   397.3   427.2   476.0   681.3  3814.1 10924.0  30228.2    30200
read      325.4   279.4   160.7   218.7   229.7   295.3   329.9   351.7   369.4   391.5   420.5   468.3   648.9  3816.7 12306.7  30278.6    30210
read      335.4   287.4   173.5   224.8   237.6   303.1   338.3   360.9   377.8   399.8   429.6   481.1   690.9  4280.1 12081.2  30213.8    30220
