#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      319.7   390.5    93.8   174.9   195.3   288.6   324.3   346.0   363.7   386.0   421.3   483.2   707.0  5387.0 15673.4   4971.4     5000  1651955701548  1651955706840
read      340.0   233.5    93.8   171.2   193.8   321.9   375.5   402.8   423.0   446.5   477.9   529.4   674.5  4009.5  8807.0   9952.6    10000  1651955708343  1651955713620
read      358.8   230.2    86.8   169.0   192.3   335.6   404.2   440.6   467.8   498.8   536.6   594.4   737.9  2179.5  7952.3  15099.6    15000  1651955715123  1651955720391
read      380.2   242.3    86.8   168.9   196.0   355.5   428.6   469.2   499.4   533.1   576.0   638.5   801.2  2857.9  9091.2  20008.4    20000  1651955721893  1651955727166
read      401.1   250.8    86.8   171.8   200.6   376.7   452.1   496.6   529.3   568.1   618.4   685.9   852.9  3001.0  9783.6  24944.6    25000  1651955728669  1651955733916
read      396.9   244.4    80.4   168.6   197.7   375.7   451.6   494.4   527.7   566.4   613.9   682.7   849.2  1319.4  7710.2  29960.8    30000  1651955735420  1651955740687
read      402.9   245.0    86.8   168.0   196.3   380.1   458.6   504.5   538.5   578.8   627.6   693.7   855.1  1712.5  9150.4  34927.8    35000  1651955742191  1651955747438
read      407.5   246.7    86.8   171.6   201.6   385.2   461.9   508.0   542.6   581.8   630.5   701.1   853.3  1480.2  9243.1  39971.0    40000  1651955748942  1651955754188
read      411.7   271.8    80.4   165.3   195.1   388.6   470.8   517.3   551.5   591.2   639.5   716.0   886.7  1602.2  9876.2  44913.4    45000  1651955755691  1651955760942
read      400.1   199.9    86.8   165.8   195.2   377.2   456.2   501.6   537.6   580.8   631.0   705.1   867.3  1266.9  5519.4  50045.4    50000  1651955762445  1651955767698
read      398.9   217.3    80.4   163.4   191.1   374.7   456.6   503.2   538.2   579.2   629.3   706.4   880.1  1339.8  6397.8  55057.8    55000  1651955769202  1651955774457
read      388.8   206.4    80.4   158.8   184.9   359.0   441.2   492.0   529.5   574.2   629.8   709.0   877.8  1567.9  5274.3  60211.6    60000  1651955775960  1651955781211
read      390.4   243.5    80.4   156.7   184.4   361.5   441.1   488.8   525.3   569.6   625.1   710.3   897.9  1371.5  8851.4  65131.4    65000  1651955782714  1651955787977
read      383.5   231.6    74.4   159.4   188.1   360.3   432.9   475.1   508.7   548.8   603.1   682.7   849.1  1221.3  9238.2  69988.6    70000  1651955789480  1651955794745
read      382.1   242.3    74.4   154.8   182.1   355.3   431.7   475.3   509.9   551.9   610.6   696.3   874.8  1288.5  7985.4  75142.2    75000  1651955796248  1651955801498
read      384.0   224.1    80.4   161.3   190.7   360.2   435.2   476.0   507.4   546.9   598.8   679.1   854.4  1223.6  8784.7  80069.0    80000  1651955803002  1651955808266
read      374.9   203.4    74.4   166.5   195.0   351.8   421.7   461.6   491.9   529.4   579.7   657.9   809.7  1120.0  6401.8  84974.6    85000  1651955809770  1651955815024
read      373.9   192.7    74.4   165.1   193.8   353.9   421.8   459.8   488.2   523.4   572.7   647.2   809.5  1290.4  5255.6  89829.4    90000  1651955816527  1651955821795
read      373.3   192.8    74.4   168.0   197.7   354.9   421.6   458.1   485.3   518.8   564.6   637.6   800.2  1134.7  6121.9  95011.6    95000  1651955823298  1651955828542
read      390.5   180.3    74.4   186.0   218.4   371.6   436.7   472.8   501.6   535.7   581.0   653.7   813.4  1181.2  5796.2  99887.2   100000  1651955830045  1651955835303
read      387.1   187.4    74.4   179.7   212.5   365.6   430.7   467.9   496.7   531.0   577.2   659.6   880.4  1238.6  5638.2 104877.0   105000  1651955836806  1651955842057
read      563.8   225.4    86.8   303.3   347.1   529.7   614.6   670.4   713.2   764.3   829.9   928.4  1101.7  1376.3  8339.9 107533.8   110000  1651955843560  1651955848817
read      500.6   274.8    74.4   226.0   272.3   462.9   542.1   587.7   628.2   688.1   786.1   941.3  1147.7  1467.7 10647.6 114377.4   115000  1651955850320  1651955855571
read      582.5   254.2    86.8   327.7   374.5   537.3   615.3   676.4   728.2   790.9   868.4   973.7  1138.4  1401.4  9269.6 110825.2   120000  1651955857074  1651955862318
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.69%,51.26%,100.00%
