#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      363.0   347.2   101.3   184.5   212.7   336.1   378.4   401.9   422.0   446.9   485.5   553.0   771.3  5166.4 13100.6   4927.2     5000  1652361801899  1652361807210
read      390.0   374.2    93.8   177.1   208.6   375.8   431.0   461.3   482.5   505.8   541.6   602.5   778.7  4480.6 25820.4   9995.4    10000  1652361808713  1652361814000
read      394.5   275.7    86.8   170.6   201.2   377.9   445.7   483.8   508.0   538.5   578.0   645.2   822.0  3281.4  9151.9  14971.6    15000  1652361815503  1652361820754
read      415.3   267.6    86.8   170.4   202.6   393.3   471.1   513.0   543.5   580.8   632.6   723.1   916.3  2971.9  8137.6  20052.0    20000  1652361822257  1652361827528
read      427.4   319.8    86.8   168.3   200.7   397.1   478.1   524.5   560.0   606.6   678.5   801.2  1054.5  2642.5 10573.2  24877.2    25000  1652361829032  1652361834296
read      425.1   282.8    86.8   166.4   198.5   388.9   477.7   529.2   568.0   616.5   685.3   805.5  1072.4  1718.9 10232.5  30054.0    30000  1652361835800  1652361841056
read      428.4   299.9    86.8   160.0   188.1   361.8   454.9   511.8   560.7   639.1   784.5   963.8  1276.5  1702.0  9315.4  35039.6    35000  1652361842560  1652361847821
read      416.8   245.0    86.8   165.2   194.6   371.4   462.8   517.6   561.9   618.7   693.9   822.9  1109.9  1655.5  7287.4  40022.6    40000  1652361849324  1652361854577
read      411.8   291.5    80.4   148.1   173.6   347.2   449.4   514.1   564.5   628.2   721.3   889.5  1265.6  1988.3  8670.1  44952.4    45000  1652361856080  1652361861333
read      411.9   314.0    74.4   163.1   192.0   361.0   455.8   514.8   559.3   613.3   683.1   801.5  1129.4  1721.9  9310.8  50078.2    50000  1652361862837  1652361868091
read      391.1   222.2    80.4   163.5   192.0   347.3   433.3   488.0   529.1   580.3   647.3   750.5   989.8  1594.3  5076.1  55113.9    55000  1652361869594  1652361874845
read      401.7   239.1    80.4   165.6   194.3   350.9   438.9   494.5   535.9   588.9   665.1   800.2  1159.3  1734.1  6633.6  59998.0    60000  1652361876355  1652361881609
read      394.4   260.8    80.4   166.1   194.0   342.6   428.4   484.6   526.0   578.3   649.8   775.2  1090.5  1697.4  8017.5  65210.2    65000  1652361883113  1652361888368
read      398.1   249.1    80.4   169.6   198.5   351.0   434.5   489.0   530.1   581.3   652.6   769.2  1063.8  1805.2  8706.5  70058.6    70000  1652361889871  1652361895132
read      391.4   259.9    80.4   169.2   198.5   341.4   423.7   476.9   517.6   567.8   638.0   756.9  1077.3  1746.2 10318.7  75199.2    75000  1652361896635  1652361901884
read      384.4   277.6    74.4   148.4   171.3   319.4   415.4   472.4   518.2   576.3   663.5   834.1  1240.4  1839.3  7710.4  79956.6    80000  1652361903388  1652361908635
read      387.0   250.1    80.4   153.8   177.2   328.8   419.9   475.1   520.4   577.6   660.8   815.1  1181.2  1777.7  6442.5  85011.6    85000  1652361910138  1652361915389
read      378.0   293.2    74.4   148.9   170.1   302.6   388.9   447.3   497.3   568.0   673.6   867.9  1336.1  2081.1  8980.5  89836.6    90000  1652361916892  1652361922145
read      410.1   314.0    68.9   159.9   182.8   329.4   419.9   479.1   531.7   604.5   725.0   957.3  1516.0  2349.7  8052.3  94900.9    95000  1652361923648  1652361928901
read      431.5   331.0    74.4   169.9   194.0   342.5   437.3   507.3   567.3   647.0   773.8  1004.0  1556.7  2645.0  9836.8  99863.1   100000  1652361930404  1652361935656
read      415.8   309.4    80.4   166.0   190.3   330.1   421.6   489.4   547.2   626.5   746.2   972.0  1474.8  2154.8  8019.4 105164.1   105000  1652361937159  1652361942418
read      513.8   426.6    80.4   188.1   212.8   362.5   513.6   632.3   728.6   853.5  1019.2  1302.9  1897.3  2985.7 11436.2 109804.2   110000  1652361943921  1652361949167
read      618.5   753.8    68.9   201.7   228.6   382.4   576.0   762.1   914.4  1080.7  1340.0  1613.8  2458.2  9984.1 28961.4 105583.6   115000  1652361950670  1652361955933
read      597.6   507.2    80.4   210.8   238.2   397.5   613.8   764.6   888.5  1036.6  1258.4  1544.5  2094.8  3587.3 12855.4 108652.2   120000  1652361957436  1652361962688
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 56.64%,9.05%,100.00%
