#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      312.1   365.3    93.8   169.8   194.2   289.7   322.9   340.4   354.1   371.6   398.0   445.6   619.3  6029.0 15737.9   4883.4     5000  1652364744684  1652364750020
read      351.3   366.0    86.8   159.9   184.7   337.0   388.1   415.0   433.3   455.4   482.9   533.7   730.7  5023.6 11516.3   9999.4    10000  1652364751522  1652364756793
read      365.8   225.9    86.8   156.8   182.9   356.5   423.1   457.3   480.5   506.4   541.5   602.5   746.2  1803.0  9095.9  15130.8    15000  1652364758296  1652364763564
read      386.8   253.5    86.8   159.5   186.5   374.8   445.7   483.9   510.4   542.0   584.7   658.6   835.8  1727.0  8401.0  19978.6    20000  1652364765067  1652364770319
read      406.7   321.6    86.8   156.9   183.6   379.6   464.6   509.8   542.5   582.1   635.8   731.3   957.5  4007.3 10676.5  24836.4    25000  1652364771822  1652364777073
read      431.3   314.4    86.8   160.5   189.9   390.2   482.0   535.9   576.9   631.6   714.5   841.9  1132.6  2905.9 12884.3  30131.6    30000  1652364778576  1652364783849
read      418.4   229.2    80.4   163.6   191.9   382.7   473.2   528.3   570.1   620.6   690.5   800.1  1089.7  1440.2  5642.8  35066.4    35000  1652364785353  1652364790636
read      416.3   313.7    80.4   153.5   179.2   357.4   457.5   518.0   568.7   633.6   726.8   872.2  1206.3  2010.9  8162.6  39784.2    40000  1652364792140  1652364797399
read      423.2   278.1    86.8   153.4   179.4   357.7   461.9   520.5   569.8   639.4   746.6   936.8  1298.6  1874.1  6546.3  45010.8    45000  1652364798903  1652364804157
read      406.1   270.3    80.4   154.6   182.0   354.6   455.5   509.6   551.3   603.0   676.4   803.9  1148.0  1826.4  8141.1  49970.8    50000  1652364805661  1652364810911
read      397.5   257.4    74.4   150.0   175.4   337.1   434.6   493.8   541.9   603.3   685.7   835.6  1221.5  1738.4  7475.8  55083.8    55000  1652364812414  1652364817672
read      395.7   300.2    80.4   149.5   174.1   325.1   417.2   471.0   516.5   581.3   682.7   897.1  1357.4  1912.1  9704.1  59899.2    60000  1652364819175  1652364824428
read      389.2   270.5    74.4   151.1   177.0   331.5   425.2   478.8   521.0   573.6   650.7   797.8  1219.9  1809.9  9596.5  64914.8    65000  1652364825931  1652364831188
read      381.8   243.7    80.4   155.0   179.8   321.7   410.9   466.8   509.3   567.0   647.2   785.2  1192.0  1772.6  5761.9  69956.6    70000  1652364832691  1652364837952
read      378.0   256.4    80.4   153.7   178.0   315.5   399.3   453.4   495.9   552.3   640.0   806.5  1220.7  1834.2  7626.7  74998.8    75000  1652364839455  1652364844712
read      377.8   227.8    80.4   157.5   182.1   323.4   406.6   460.1   502.9   556.4   634.4   772.0  1138.9  1642.9  5467.8  80092.2    80000  1652364846216  1652364851465
read      377.7   238.2    80.4   158.9   184.1   325.6   409.6   461.6   502.5   553.0   627.2   756.2  1107.3  1753.5  6402.6  84936.2    85000  1652364852968  1652364858224
read      374.8   321.0    74.4   134.6   154.1   278.0   364.2   425.6   478.8   558.9   695.6  1010.1  1584.9  2441.5  7228.4  89854.8    90000  1652364859728  1652364864981
read      385.6   259.7    80.4   160.4   184.7   321.3   401.5   456.8   502.3   563.3   652.7   830.2  1252.1  2019.3  7166.7  95186.2    95000  1652364866485  1652364871741
read      431.6   324.5    80.4   174.7   199.5   346.0   440.0   509.1   567.3   641.9   762.3   983.1  1484.2  2774.7  8629.8  99913.8   100000  1652364873244  1652364878489
read      613.8   518.0    86.8   208.6   237.4   395.7   617.8   790.2   937.4  1107.0  1353.8  1600.5  2173.4  3225.2 12536.5 102651.4   105000  1652364879994  1652364885239
read      629.0   819.6    74.4   179.5   204.0   345.1   459.5   684.0  1118.2  1391.9  1539.4  1708.6  2702.8  8664.3 30041.1 103591.4   110000  1652364886742  1652364892004
read      614.1   576.0    80.4   211.5   239.7   396.5   627.1   787.7   919.0  1066.1  1285.4  1582.8  2264.8  5430.1 13862.6 105860.6   115000  1652364893508  1652364898756
read      604.5   533.5    80.4   206.7   234.0   389.3   611.3   774.7   906.1  1057.7  1297.7  1587.0  2290.5  4254.5 12341.9 107596.6   120000  1652364900259  1652364905508
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 83.33%,50.00%,100.00%
