./mcperf -s $INTERNAL_MEMCACHED_IP -a $INTERNAL_AGENT_IP --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1800 --qps_interval 10 --qps_min 5000 --qps_max 100000
Random waveform, random seed
Total number of intervals = 180 (35287, 14271, 17436, 17944, 9097, 85796, 55519, 26960, 96739, 37774, 16784, 83654, 65716, 17738, 60163, 77793, 75230, 32487, 77751, 29790, 66212, 99080, 61398, 26830, 6307, 32240, 7014, 34981, 86450, 23868, 98736, 71027, 69859, 10493, 92190, 68413, 28603, 69419, 27655, 96461, 22299, 36522, 64955, 58585, 72605, 88493, 66523, 92988, 74931, 36924, 66209, 37236, 81627, 5143, 36388, 84707, 87836, 36596, 62538, 8871, 97186, 54990, 72123, 70002, 38050, 94543, 90995, 19905, 93746, 98345, 53655, 54249, 64278, 85068, 73946, 14648, 82863, 67170, 40386, 21485, 44464, 51924, 26130, 25075, 45091, 51757, 67885, 98774, 43672, 53944, 58303, 82888, 14873, 69860, 26181, 27187, 22496, 34221, 55733, 10542, 57923, 57133, 81637, 73069, 12065, 88379, 44586, 13031, 91756, 88647, 92108, 11489, 7482, 15539, 56120, 57047, 67434, 19395, 62743, 31213, 43760, 5620, 71182, 17054, 56625, 96615, 46634, 39101, 76118, 38068, 7249, 6613, 44539, 90938, 16042, 57651, 53770, 88066, 9256, 97336, 8272, 85858, 43144, 11333, 51041, 13028, 33019, 92532, 16291, 56538, 56819, 25051, 24150, 95318, 96042, 19394, 50382, 48720, 49605, 95072, 46925, 93393, 45534, 84652, 17871, 13507, 7521, 9834, 26357, 29287, 63571, 65694, 29484, 59329, 26675, 64106, 37346, 40681, 33287, 37717)
Average QPS expected = 50706
Timestamp start: 1653294620808
Timestamp end: 1653296421228

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      396.9   384.7    80.4   125.7   140.7   263.0   386.6   506.0   656.2   759.9   857.2   982.4  1263.7  4763.2  8966.7  35243.6    35287
read      375.4   806.3    80.4   130.3   145.8   299.7   378.1   425.0   457.5   493.5   539.6   621.7  1284.3 10611.3 32028.3  14351.6    14271
read      391.1   848.3    80.4   128.3   143.1   303.1   392.1   450.7   493.0   539.3   598.3   685.1  1735.7  9861.9 31977.4  17483.5    17436
read      392.7   794.3    86.8   128.1   143.3   309.1   405.4   471.8   518.1   572.5   642.1   727.2  1085.8  9818.1 31932.2  18023.5    17944
read      385.4  1154.7    86.8   141.0   159.8   286.6   348.3   380.3   402.5   428.6   463.3   527.9  1994.0 16132.3 32322.4   9114.4     9097
read      352.2   443.7    80.4   124.4   138.6   242.2   304.3   350.7   392.9   453.6   573.9  1140.8  1934.5  3592.6 12764.0  85649.5    85796
read      386.0   443.9    80.4   123.5   137.6   249.7   327.3   400.9   472.3   659.3   963.5  1205.2  1538.5  3571.8 12474.4  55536.4    55519
read      407.3   632.8    80.4   126.3   141.0   287.5   417.7   521.3   614.1   697.0   769.4   869.4  1237.7  7490.9 30391.2  27019.6    26960
read      400.6   489.5    80.4   127.6   143.6   264.1   336.1   391.0   436.2   501.8   682.3  1462.3  2327.5  3809.1 11910.9  96579.0    96739
read      391.4   402.0    80.4   122.6   137.6   261.4   381.3   493.7   642.9   755.1   855.0   979.2  1241.0  3866.2 11487.4  37726.9    37774
read      399.9   983.7    86.8   128.3   142.9   301.4   388.3   447.4   489.0   533.7   586.2   675.5  1909.4 11905.4 38500.5  16839.3    16784
read      345.4   417.9    80.4   123.4   137.2   240.5   302.2   347.0   389.6   451.0   575.6  1106.0  1818.0  3317.5 13417.8  83570.8    83654
