Random waveform, random seed
Total number of intervals = 180 (34452, 30895, 9681, 20453, 79787, 47156, 88061, 22093, 99437, 62144, 37521, 39166, 35867, 69429, 14726, 62735, 88490, 11771, 88417, 26563, 73048, 30006, 84966, 60308, 46835, 98194, 86533, 93300, 11572, 81996, 29155, 25513, 99344, 31538, 82225, 78116, 88668, 51596, 31095, 48805, 45887, 35479, 11080, 62505, 25156, 79205, 55328, 54837, 69350, 16531, 7767, 57599, 34470, 63541, 44175, 43195, 9603, 48655, 93508, 87001, 66900, 70341, 47702, 44729, 52870, 69520, 24653, 81783, 59494, 56115, 75620, 39370, 48515, 16983, 5049, 73154, 14713, 50309, 55555, 73579, 28919, 57412, 15180, 94593, 82215, 7090, 89287, 13439, 12236, 17851, 52592, 42921, 62887, 76800, 13795, 92183, 44153, 48292, 83737, 33373, 58682, 91420, 36191, 9905, 75421, 8458, 77403, 75501, 29099, 36824, 8449, 24339, 34162, 5931, 76035, 78025, 68766, 85001, 89562, 67840, 7408, 11411, 30247, 47852, 97283, 69161, 59246, 59856, 46256, 59976, 72659, 44335, 67652, 64434, 48237, 8571, 82643, 78259, 24328, 37604, 94552, 55075, 67085, 34858, 29694, 61633, 96516, 5863, 74364, 12122, 10057, 65765, 94787, 18101, 80432, 66207, 97428, 24697, 58233, 36466, 69311, 24268, 71849, 20162, 41389, 66653, 96102, 65042, 89240, 69762, 87536, 37502, 94563, 52982, 48870, 96069, 83385, 92932, 95859, 70461)
Average QPS expected = 53637
Timestamp start: 1653227659121
Timestamp end: 1653229459585

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      371.1   311.1    74.4   119.6   136.3   281.1   393.2   477.4   551.1   635.2   748.0   922.1  1150.7  2166.5  8632.3  34426.8    34452
read      364.0   291.0    68.9   119.4   136.5   291.8   395.6   469.7   535.7   609.5   704.9   845.2  1079.3  1646.2  9190.3  31036.9    30895
read      297.2   306.4    74.4   136.2   159.5   277.4   327.0   352.4   369.8   389.6   413.7   454.7   598.8  3837.9 13376.6   9662.1     9681
read      336.4   235.3    74.4   123.5   143.7   311.5   389.9   434.9   466.7   503.2   546.7   618.8   769.1  1389.1  8754.2  20443.5    20453
read      351.1   363.8    68.9   115.9   131.0   229.6   296.1   351.6   407.3   520.6   770.0  1187.3  1677.6  2149.6  9249.3  79819.9    79787
read      349.3   301.3    63.8   113.0   128.2   249.6   360.5   440.0   520.3   608.0   726.6   904.8  1171.3  1885.6  8634.3  47115.3    47156
read      310.2   298.6    74.4   120.7   136.4   265.6   333.5   374.0   404.8   443.0   494.1   581.2  1174.2  3438.6  8898.8  88148.4    88061
read      371.7   683.7    68.9   118.7   134.1   300.1   391.0   452.2   500.6   550.2   610.5   697.6  1043.1  9074.4 31631.6  22151.0    22093
read      314.9   307.4    68.9   123.7   140.2   269.7   336.7   376.9   408.2   447.9   501.6   592.5  1239.3  3245.0 10001.5  99202.4    99437
read      307.2   371.5    74.4   120.1   135.5   273.8   341.8   382.0   411.2   445.0   487.3   546.7   740.5  3361.9 15926.5  62140.7    62144
read      385.3   537.1    74.4   117.0   132.3   264.0   378.0   463.8   564.7   678.4   799.7   976.5  1271.8  6107.1 27303.3  37562.6    37521
read      387.2   531.9    74.4   116.4   131.3   255.1   364.8   451.7   572.6   702.9   835.3  1002.0  1287.7  6362.4 17963.8  39211.8    39166
read      388.7   572.7    68.9   117.1   132.2   263.3   375.9   466.5   575.7   687.8   803.5   962.7  1248.0  6990.1 25603.9  35674.0    35867
read      303.9   351.9    74.4   119.0   133.6   265.8   331.8   371.4   401.3   436.3   481.8   548.2  1031.1  3202.1 16987.3  69430.5    69429
read      362.0   824.8    74.4   121.3   137.5   293.4   363.6   404.6   432.6   465.7   505.8   573.1  1216.6 10521.0 32197.1  14752.6    14726
read      367.4   410.5    74.4   117.8   132.5   248.2   323.0   385.1   440.1   539.0   817.3  1179.1  1587.8  3173.7 10189.9  62747.6    62735
read      296.1   301.1    68.9   120.0   135.0   262.8   328.2   367.0   396.0   431.0   475.7   543.6   731.3  2883.8 11064.1  88388.1    88490
read      366.6   998.1    74.4   126.4   144.6   287.6   350.1   385.1   408.4   435.2   471.8   536.6  1605.4 13533.6 36359.0  11786.8    11771
read      303.0   273.6    74.4   120.6   135.6   261.9   328.0   367.4   397.1   433.1   481.9   560.3  1087.7  3042.6  9134.6  88352.1    88417
