cat ~/1251latency.txt
Random waveform, supplied seed
Total number of intervals = 180 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175, 51484, 39771, 32864, 42033, 43808, 45785, 35582, 38504, 15320, 74264, 43890, 5962, 38365, 55971, 23217, 87681, 91728, 96668, 80475, 27150, 53444, 23737, 87776, 82175, 98548, 37704, 64701, 69089, 89785, 16676)
Average QPS expected = 50230
Timestamp start: 1653389478553
Timestamp end: 1653391278960

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      307.3   318.4   101.3   169.7   191.5   287.5   325.3   345.9   362.4   381.0   404.8   449.0   569.6  3950.8 15060.4   5020.7     5031
read      429.3   499.9    86.8   140.2   157.9   289.5   393.5   481.4   576.5   731.2   940.8  1205.9  1612.5  5070.6 17241.3  54777.7    54838
read      322.5   370.0    80.4   139.0   154.7   276.8   342.5   381.2   410.2   446.8   496.3   587.4  1084.2  3679.3 13397.8  74871.5    74868
read      399.1   331.8    86.8   142.0   158.3   316.1   435.7   519.9   596.6   678.6   768.4   891.7  1158.3  2202.2  9639.5  30038.8    30015
read      468.2   820.5    86.8   141.7   159.0   306.4   427.4   526.6   637.9   776.0   930.7  1148.0  1813.3  9762.6 32380.3  40763.2    40743
read      406.6   533.8    86.8   144.1   161.1   339.8   452.3   527.4   583.3   642.8   713.8   816.2  1046.2  4775.5 30453.4  23628.7    23648
read      365.3   612.4    86.8   143.6   161.3   288.6   355.9   396.7   429.0   469.9   533.7   672.7  1671.7  9531.4 30819.2  97771.6    97712
read      420.9   432.4    86.8   140.1   157.5   291.9   391.1   467.3   539.9   681.8   925.1  1235.4  1608.8  3154.9 12922.7  53812.7    53672
read      439.8   486.6    86.8   139.1   156.8   295.3   398.2   486.2   579.5   747.5   995.0  1292.1  1730.5  3485.6 15780.5  55377.5    55395
read      408.3   397.1    86.8   141.4   157.8   317.9   447.8   540.7   616.9   695.2   783.1   905.4  1165.7  3005.9 12655.2  29451.9    29425
read      378.3   363.3    86.8   146.0   163.9   343.2   434.2   488.0   524.0   564.3   613.6   685.3   848.7  3381.9 12490.8  15221.1    15173
read      414.1   870.2    86.8   144.3   162.5   297.0   367.0   410.1   444.9   491.2   564.9   898.1  1822.5 11141.2 32152.1  82346.6    82475
read      303.1   317.3    86.8   138.2   153.6   267.3   327.2   363.9   391.4   424.8   468.0   540.5   777.8  2826.6 12587.1  90368.7    90555
