cat ~/1140latency.txt
Random waveform, supplied seed
Total number of intervals = 180 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175, 51484, 39771, 32864, 42033, 43808, 45785, 35582, 38504, 15320, 74264, 43890, 5962, 38365, 55971, 23217, 87681, 91728, 96668, 80475, 27150, 53444, 23737, 87776, 82175, 98548, 37704, 64701, 69089, 89785, 16676)
Average QPS expected = 50230
Timestamp start: 1653385220284
Timestamp end: 1653387020696

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      299.2   343.9   101.3   166.2   190.8   273.6   309.5   329.7   343.9   361.9   385.0   425.9   577.9  5064.3 13538.4   4987.4     5031
read      417.7   513.4    86.8   133.6   149.9   274.1   371.6   457.6   551.8   720.9   938.1  1198.1  1648.9  5031.5 19600.5  54717.8    54838
read      317.0   328.8    80.4   135.8   151.7   278.6   340.6   377.5   404.8   438.5   483.5   559.8  1006.6  3804.7  9495.5  74959.1    74868
read      387.4   313.9    86.8   137.2   152.5   308.3   421.0   500.8   571.2   651.3   741.3   870.4  1143.5  2418.9  9277.7  30068.9    30015
read      422.0   476.1    86.8   138.3   154.1   296.6   412.7   505.6   609.4   743.5   886.8  1060.5  1467.7  4390.5 11947.5  40886.3    40743
read      381.3   346.1    86.8   138.9   154.8   322.0   428.5   503.1   559.3   615.8   680.9   785.3   998.5  2276.0 11380.4  23653.2    23648
read      350.9   573.2    86.8   139.7   156.8   285.1   349.4   389.3   420.3   460.3   518.3   631.3  1609.0  8460.5 30562.8  97527.6    97712
read      418.3   473.9    86.8   133.1   149.8   281.8   375.6   452.1   531.3   691.3   945.3  1254.6  1671.8  3739.4 15760.6  53805.5    53672
read      414.7   433.6    86.8   131.5   147.6   275.7   372.9   453.0   537.0   705.3   949.3  1241.3  1657.2  4051.7 11616.5  55386.7    55395
read      406.0   439.3    86.8   137.4   153.1   314.1   435.8   530.4   606.0   685.0   775.9   900.3  1216.1  4370.6 17130.0  29376.3    29425
read      358.4   383.7    86.8   140.5   158.0   324.0   410.5   459.6   492.9   528.9   571.9   637.2   796.6  3227.5 18233.4  15117.5    15173
read      365.8   703.6    86.8   138.9   155.5   288.1   354.8   394.9   425.7   463.7   518.5   636.7  1649.6  9698.2 31276.6  82305.6    82475
