cat ~/1058latency.txt
Random waveform, supplied seed
Total number of intervals = 180 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175, 51484, 39771, 32864, 42033, 43808, 45785, 35582, 38504, 15320, 74264, 43890, 5962, 38365, 55971, 23217, 87681, 91728, 96668, 80475, 27150, 53444, 23737, 87776, 82175, 98548, 37704, 64701, 69089, 89785, 16676)
Average QPS expected = 50230
Timestamp start: 1653382901530
Timestamp end: 1653384701941

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      321.8   452.1   101.3   166.8   195.1   291.3   330.8   354.3   371.1   392.2   419.3   464.4   622.3  5594.5 18608.5   5050.2     5031
read      411.4   987.7    80.4   138.7   157.0   312.0   396.5   442.9   475.7   516.5   573.5   677.6  1766.3 13241.0 35714.6  54806.8    54838
read      350.3   402.7    86.8   138.8   156.4   299.2   379.7   427.6   462.9   505.5   566.5   675.2   980.7  4054.7 13354.2  74909.2    74868
read      448.1   392.7    86.8   142.6   163.0   378.5   500.7   588.1   661.5   738.5   827.8   965.4  1252.2  3104.9 12270.8  30090.9    30015
read      480.0   596.3    80.4   136.1   155.6   333.4   454.0   538.1   637.9   824.2  1056.9  1326.8  1789.7  6145.6 24599.9  40823.8    40743
read      444.6   441.3    86.8   145.8   167.3   386.6   502.3   585.5   648.4   712.8   785.4   893.5  1117.9  4697.4 17138.3  23664.6    23648
read      422.2   626.0    86.8   147.8   170.1   332.7   416.4   469.2   512.4   571.3   659.4   861.4  1794.4  8946.6 30752.0  97732.6    97712
read      354.1   374.8    86.8   135.8   153.1   307.6   393.4   441.1   474.7   517.0   576.9   680.0   967.4  4190.1 13410.6  53717.7    53672
read      357.3   379.2    86.8   136.1   153.9   310.6   396.6   443.8   478.1   521.0   580.0   679.7   966.6  4421.4 13628.3  55382.5    55395
read      441.2   377.8    86.8   141.6   161.9   372.0   490.6   579.3   654.2   730.8   815.3   949.6  1221.3  3227.3 12623.7  29358.5    29425
read      389.2   320.8    86.8   144.7   165.6   359.6   448.5   504.5   544.1   587.1   634.1   701.4   851.3  2595.1  9449.9  15186.0    15173
