ubuntu@client-measure-t5dw:~/memcache-perf-dynamic$ ./mcperf -s 10.156.15.233 -a 10.156.15.232 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1800 --qps_interval 10 --qps_min 5000 --qps_max 100000 —qps_seed 42
Random waveform, random seed
Total number of intervals = 180 (18414, 15106, 94128, 52081, 8518, 53635, 7287, 65072, 21961, 63410, 22613, 92600, 21544, 86104, 91857, 74468, 51206, 24059, 81343, 68281, 94431, 16363, 24955, 35485, 14065, 84695, 69790, 83218, 42166, 93999, 65828, 7237, 83203, 80597, 68225, 98147, 52915, 64464, 71871, 16237, 8591, 42944, 63594, 77148, 53316, 53184, 18933, 97566, 71047, 26364, 55788, 87098, 88849, 59060, 74349, 47143, 44721, 6727, 61787, 18048, 36956, 33823, 12389, 21127, 15911, 29959, 52912, 8243, 87525, 32424, 60485, 81292, 69104, 64082, 23012, 56999, 19005, 63452, 60527, 30948, 49478, 54688, 23199, 64074, 67199, 63846, 37571, 11525, 37245, 46367, 21352, 93588, 94213, 54443, 99460, 73341, 12703, 86277, 57296, 70829, 71239, 22061, 26703, 57680, 50595, 26712, 20185, 53550, 99266, 50118, 74046, 90554, 30326, 48464, 22034, 49975, 43347, 87230, 13093, 84323, 92035, 22941, 99682, 96971, 43679, 69257, 70662, 26460, 58710, 83374, 97959, 23640, 68020, 84425, 98511, 88421, 85257, 9387, 27434, 77756, 20424, 65860, 60945, 12717, 26767, 86419, 71260, 94668, 96053, 9400, 46220, 32240, 96175, 58211, 57737, 68388, 97053, 90004, 96114, 86705, 36094, 92024, 34035, 60558, 69775, 29747, 7574, 44710, 11467, 11079, 47562, 58743, 64407, 60045, 97025, 8383, 63777, 24575, 10177, 85980)
Average QPS expected = 54188
Timestamp start: 1653230415262
Timestamp end: 1653232215827

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      382.3   680.8    74.4   123.4   141.6   319.0   406.4   457.4   491.5   529.7   577.7   665.7  1181.1  9293.6 31454.5  18324.5    18414
read      363.6   684.0    74.4   121.7   139.0   302.9   376.8   419.5   447.4   478.1   518.2   588.4  1504.9  8154.0 32291.5  15159.0    15106
read      317.7   373.1    74.4   123.5   139.9   270.3   336.2   375.7   405.8   443.7   493.4   578.1  1285.0  3910.5 11869.7  93937.3    94128
read      379.2   381.6    74.4   119.6   135.2   257.2   344.8   413.6   475.3   611.6   887.6  1149.5  1507.7  3096.4  8722.9  52103.5    52081
read      371.8  1071.3    74.4   138.2   161.1   288.9   340.7   369.4   389.3   412.0   442.5   502.3  1763.2 14155.4 37126.5   8593.3     8518
read      400.2   522.5    74.4   117.8   133.4   258.8   347.7   422.2   496.5   686.1   965.8  1207.6  1597.7  4604.1 17344.8  53813.5    53635
read      357.8  1058.0    86.8   141.0   164.5   273.2   319.0   344.8   363.2   384.4   412.7   467.3  1898.8 12687.1 37299.3   7306.4     7287
read      305.5   285.8    74.4   119.7   135.3   268.0   331.7   370.4   399.9   435.5   480.5   546.6  1171.2  3093.5  9673.9  65011.5    65072
read      379.9   663.9    74.4   118.7   135.0   309.1   402.9   466.0   512.9   564.3   631.1   723.5  1040.3  9451.6 30114.0  22004.2    21961
read      332.7   335.3    68.9   119.0   134.3   260.7   328.5   373.1   409.5   455.5   523.8   857.4  1551.7  3069.2  9824.0  63555.1    63410
read      374.8   643.3    74.4   117.5   133.6   303.5   397.9   461.4   508.5   559.2   622.7   712.7  1069.8  8111.9 31865.0  22557.4    22613
read      310.3   358.9    74.4   122.3   138.3   266.5   332.0   371.1   401.1   438.3   487.7   567.1  1143.5  3267.2 13856.3  92603.6    92600
read      377.4   660.1    74.4   119.3   135.3   308.3   403.0   466.9   513.1   564.3   629.3   721.9  1018.9  8710.7 30547.9  21562.6    21544
read      311.8   313.7    74.4   121.7   137.6   270.2   336.9   375.8   405.2   442.2   489.8   565.2  1169.1  2962.6 11622.1  86010.8    86104
read      299.3   308.5    74.4   120.6   136.1   264.6   328.6   367.5   396.7   431.9   475.8   542.3   761.4  3367.9 11694.0  91795.8    91857
read      297.7   253.6    74.4   120.0   135.5   269.0   332.6   369.9   397.9   431.4   473.4   534.3   723.6  2557.5  9180.4  74570.4    74468
read      379.9   441.5    68.9   117.3   132.5   256.3   345.5   411.1   469.0   618.4   892.9  1132.7  1478.0  3710.5 14225.2  51093.6    51206
read      389.3   692.3    68.9   118.7   134.9   304.9   406.0   477.0   529.8   588.5   656.3   757.6  1135.7  9604.0 31214.9  24043.4    24059
