Random waveform, random seed
Total number of intervals = 360 (46601, 57551, 74247, 45845, 89512, 96307, 6690, 8054, 33277, 52307, 95807, 47344, 99490, 14884, 59964, 69002, 57782, 69111, 78879, 78095, 9948, 41894, 95397, 94722, 51812, 48464, 29810, 14081, 54791, 45720, 77674, 72464, 91331, 76829, 12450, 98710, 11826, 74617, 93044, 79200, 68380, 45811, 86583, 71867, 45302, 87857, 9997, 18975, 39439, 57352, 47702, 41764, 93466, 35886, 15463, 17584, 39616, 92794, 45932, 36134, 90766, 73389, 58965, 83624, 26724, 30833, 13338, 21921, 57386, 51558, 56332, 5853, 96506, 22400, 34114, 59653, 70002, 41033, 68854, 42405, 29817, 42649, 47447, 29239, 16746, 96312, 83918, 36926, 5003, 66994, 38983, 86756, 36417, 11338, 41010, 51173, 41326, 40695, 83310, 65443, 90339, 26720, 57578, 54802, 37559, 13868, 86644, 45864, 21348, 18830, 74848, 70983, 93739, 71787, 30424, 85626, 48249, 23466, 87595, 74372, 57077, 81545, 52143, 8360, 53766, 18159, 99386, 72940, 24731, 62782, 12387, 97999, 33768, 34995, 43338, 46756, 15542, 6102, 15467, 81154, 35316, 19890, 22341, 80570, 8549, 85408, 79660, 95548, 74591, 20726, 15442, 42179, 36215, 28372, 79867, 61691, 17094, 70328, 9787, 95838, 5381, 55005, 30715, 31429, 58581, 7526, 90731, 55936, 15896, 76335, 72860, 6633, 7479, 72391, 11754, 93121, 43154, 80911, 40534, 35646, 52657, 95192, 74804, 87490, 28800, 49698, 50041, 17875, 78367, 36434, 6363, 23346, 62696, 87107, 46309, 98551, 95817, 39092, 31160, 11597, 18742, 13749, 91427, 70003, 59989, 14167, 80605, 13330, 77606, 61270, 63008, 14569, 94656, 89684, 37112, 5097, 31893, 75216, 82094, 53208, 38167, 65479, 32039, 48546, 77503, 43743, 5641, 47397, 43698, 12190, 12327, 38512, 60192, 6176, 19191, 66648, 16609, 80578, 39780, 94059, 23112, 23672, 38799, 42936, 24354, 5606, 27274, 62174, 63926, 57264, 93437, 27501, 62611, 87261, 74638, 52626, 45815, 57513, 12626, 27551, 61042, 29028, 80136, 18104, 27567, 44603, 19147, 75769, 63022, 64295, 88937, 22269, 19074, 94758, 98082, 9980, 13450, 97323, 78286, 91494, 60953, 64769, 65928, 73595, 10879, 15951, 51298, 50931, 63781, 85808, 60668, 25661, 24547, 20429, 62609, 50931, 55693, 15835, 87356, 50601, 33170, 56619, 90702, 49836, 83529, 48647, 53905, 79874, 89216, 52739, 42991, 92682, 74803, 73997, 14760, 75787, 89696, 50193, 14590, 58694, 97864, 35585, 81062, 11512, 11317, 64435, 56423, 18025, 31245, 9790, 46608, 87166, 86399, 19131, 7624, 38097, 27259, 85844, 10774, 63280, 32480, 56720, 74999, 41951, 96963, 5389, 90227, 35880, 6590, 41358, 6103, 32563, 16249, 23684, 46855, 58853, 14980, 70284, 33874, 21038)
Average QPS expected = 50312
Timestamp start: 1653232951704
Timestamp end: 1653234752440

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      397.9   407.0    68.9   121.8   137.1   257.1   346.0   436.3   567.3   796.4   967.6  1136.1  1401.9  4272.2  7813.7  46318.6    46601
read      380.9   399.3    74.4   118.7   132.9   245.7   321.7   390.4   454.6   634.3   991.8  1229.7  1546.9  2913.1  9412.6  57381.0    57551
read      308.2   287.6    74.4   120.6   135.2   263.5   333.4   375.8   407.6   445.6   494.4   577.4  1197.4  3336.2  9226.6  74277.0    74247
read      379.4   428.6    68.9   119.3   134.5   258.8   348.7   421.8   491.9   664.0   904.3  1079.7  1341.2  3084.9 13528.0  45630.0    45845
read      309.8   323.3    74.4   122.3   137.3   259.6   326.4   369.0   401.9   442.5   496.0   591.1  1341.6  2593.1 15077.7  89725.2    89512
read      295.6   323.9    74.4   121.5   136.5   259.2   323.4   362.5   392.0   427.7   474.2   547.2   755.9  3609.0 14214.5  96204.0    96307
read      351.5   971.7    93.8   145.5   168.2   269.0   309.4   332.5   349.6   371.2   398.5   450.5  2240.7 12825.7 36697.5   6645.0     6690
read      356.9   898.9    80.4   142.3   166.1   283.0   333.2   362.7   382.7   403.6   432.9   482.6  1565.6 11164.0 30263.2   7877.0     8054
read      410.8   638.9    74.4   120.8   136.8   282.4   399.7   494.7   593.7   707.2   835.4   972.5  1330.5  7433.4 31727.0  33280.4    33277
read      387.5   414.9    74.4   119.3   134.2   254.6   341.5   413.9   491.6   697.2   968.4  1163.8  1478.8  2942.9  8606.3  52260.0    52307
read      312.5   307.1    74.4   122.3   137.4   260.3   327.2   369.2   401.5   441.7   495.4   588.5  1426.9  3308.3  9288.4  95582.2    95807
read      398.8   559.5    74.4   121.1   136.9   264.9   361.9   438.9   527.2   709.8   914.8  1101.5  1403.5  5960.3 17505.6  47152.4    47344
read      340.6   390.2    74.4   126.1   142.2   269.2   336.0   379.1   413.7   457.3   517.9   643.6  1781.7  4540.8 10455.3  99561.4    99490
read      374.1   824.5    80.4   125.2   142.2   306.1   381.3   425.4   456.7   492.8   539.8   617.4  1029.3 10135.4 32055.7  14945.8    14884
read      401.8   456.5    74.4   121.5   136.9   261.2   345.7   414.6   483.2   633.5   997.3  1292.3  1694.7  3961.4 14445.6  60211.0    59964
read      309.3   322.3    74.4   120.8   135.6   265.0   334.6   376.5   407.7   445.5   493.1   572.5  1163.0  3353.3 10861.0  69073.6    69002
read      304.9   227.1    74.4   120.6   136.0   273.7   343.9   385.8   415.4   449.6   492.2   558.2   788.3  3080.9  6820.6  57653.8    57782
read      303.9   479.6    74.4   120.1   134.9   264.6   331.7   371.4   401.0   436.0   479.4   543.6   768.6  4219.2 21680.5  68865.8    69111
read      298.8   329.7    74.4   121.7   136.7   261.4   329.1   370.0   400.4   436.1   481.2   548.5   756.5  3101.4 11854.7  79069.4    78879
read      299.9   230.3    68.9   122.3   137.2   264.7   334.0   375.8   406.4   442.3   488.3   559.0   806.6  2749.4  5947.4  78216.4    78095
read      367.4   926.1    80.4   135.5   156.6   289.5   347.9   381.7   404.2   434.5   471.4   544.2  1421.6 12983.9 35329.9   9855.0     9948
read      408.2   519.0    74.4   122.5   138.8   274.0   385.7   471.8   588.5   760.1   918.9  1088.2  1378.8  5099.2 20561.4  41839.8    41894
read      329.9   325.6    74.4   125.5   141.7   271.9   341.7   385.1   418.7   460.4   517.7   627.0  1587.6  3348.8  8493.4  95500.8    95397
read      300.4   422.7    68.9   121.3   136.4   259.4   324.6   364.5   394.7   431.0   477.9   549.9   750.5  4764.0 14788.1  94891.2    94722
read      378.7   398.7    74.4   120.1   134.9   261.4   343.3   406.8   462.7   573.3   895.9  1154.2  1470.6  4065.6  9407.6  51711.0    51812
read      397.5   427.1    74.4   119.8   135.0   263.5   354.7   428.0   506.5   719.8   976.9  1166.9  1468.1  4235.9 10090.4  48281.2    48464
read      403.6   558.8    74.4   122.2   138.3   292.3   408.9   505.4   592.8   687.3   797.3   920.0  1243.9  7309.1 26924.8  29716.4    29810
read      376.6   738.3    80.4   125.7   144.7   307.0   383.6   428.0   459.3   493.6   538.5   611.8  1261.8 12572.4 31220.3  14071.8    14081
read      401.2   436.1    74.4   120.4   135.2   259.0   341.5   409.8   478.6   662.4  1035.2  1294.6  1674.9  3372.7  8862.2  54773.2    54791
read      407.3   521.4    74.4   120.8   136.9   268.5   369.5   448.9   545.8   749.0   954.6  1136.3  1442.9  6063.8 13857.5  45849.4    45720
read      307.9   295.1    74.4   119.5   134.0   256.1   322.4   364.5   396.2   434.3   485.0   578.0  1414.9  3304.7  7629.7  77659.8    77674
read      291.4   226.9    68.9   119.3   133.7   259.7   325.9   366.5   395.5   429.5   470.2   532.0   725.2  3156.7  7631.5  72735.4    72464
read      291.7   286.6    74.4   120.2   134.7   254.5   319.7   359.3   388.7   423.9   468.7   536.8   739.5  3203.5  9887.8  91618.0    91331
read      296.7   293.5    68.9   120.0   134.3   259.9   327.4   367.7   397.3   432.6   475.1   541.6   782.2  3850.3  9415.3  76897.8    76829
