Random waveform, random seed
Total number of intervals = 600 (62699, 52312, 97181, 65506, 11428, 28887, 93676, 62129, 59421, 50331, 55956, 55536, 39047, 21846, 37453, 28799, 33197, 29317, 98732, 95242, 64622, 67050, 17535, 58453, 27716, 80564, 92698, 57099, 75771, 6569, 61563, 53286, 31013, 11068, 56366, 19159, 83878, 28656, 93264, 60778, 62999, 50623, 16771, 54419, 63679, 82443, 28830, 83092, 16381, 45996, 66008, 85463, 51443, 30337, 39740, 81197, 88016, 30484, 47181, 22223, 92780, 96140, 50929, 31187, 77212, 87754, 83882, 83011, 87418, 39067, 78128, 90157, 92049, 68634, 37673, 14462, 8828, 38998, 55757, 35609, 5164, 15099, 70723, 97275, 17718, 6878, 34332, 20478, 31255, 74333, 57582, 18651, 13056, 31318, 85935, 13364, 68416, 91941, 61338, 73615, 63479, 45513, 19358, 12568, 97731, 90184, 77059, 89416, 89590, 70375, 36037, 73421, 35456, 99596, 77564, 24873, 74177, 99735, 41035, 99243, 37598, 85824, 45584, 66162, 16123, 84528, 20401, 69108, 27298, 74348, 23969, 91586, 83161, 34235, 91798, 29165, 15534, 60103, 25708, 50227, 8512, 40499, 20976, 42455, 14818, 95045, 77330, 76546, 13524, 98524, 22049, 22961, 59076, 62067, 65405, 24560, 37797, 19553, 60658, 38122, 58240, 69482, 48576, 10735, 72207, 45304, 16292, 66737, 85685, 85683, 53019, 92296, 45040, 48940, 49177, 40055, 66938, 47379, 31190, 31797, 66971, 21308, 8138, 28337, 64146, 39521, 14479, 91526, 12391, 64992, 10236, 47096, 15469, 14932, 18954, 65684, 55270, 25445, 95012, 94632, 65712, 54114, 70981, 55442, 73182, 10690, 63424, 75864, 50842, 79994, 16789, 72213, 53776, 84634, 97697, 82161, 49404, 42861, 97816, 98818, 15015, 87773, 24248, 30671, 43040, 59397, 40857, 46716, 6709, 39820, 9894, 86345, 65230, 23795, 7205, 17679, 18216, 19470, 92503, 9790, 51271, 75145, 29489, 37655, 6042, 46938, 28854, 6101, 93216, 11897, 26925, 81428, 73449, 23112, 26461, 76634, 69116, 62037, 44549, 57287, 11286, 8971, 61142, 96577, 76551, 94039, 82607, 44235, 8410, 36830, 8238, 95840, 45802, 34937, 28067, 88158, 41987, 33960, 41943, 67584, 71998, 48774, 8584, 9696, 80548, 19535, 43568, 6820, 14079, 33076, 99914, 11377, 32709, 97564, 30839, 22808, 45014, 90468, 96342, 17547, 75806, 19740, 79641, 58691, 37243, 21873, 10159, 79288, 13208, 14700, 8871, 97686, 92364, 49966, 90227, 39911, 12894, 54321, 38630, 45027, 14136, 26426, 58791, 8103, 12148, 66936, 10708, 84040, 83623, 7640, 13693, 96771, 5491, 6398, 49142, 9384, 60890, 48923, 44958, 96074, 72952, 33184, 6608, 49874, 59994, 87652, 81663, 35143, 63468, 53559, 58765, 58885, 83145, 46275, 97307, 90014, 73645, 88148, 62737, 21557, 19148, 5130, 14885, 82005, 85595, 96598, 46867, 61704, 40773, 61588, 97643, 36813, 9361, 66261, 54119, 58858, 92086, 32298, 36489, 66387, 91211, 52392, 20248, 63442, 99044, 15116, 67873, 85932, 55426, 79330, 57193, 36129, 14180, 11137, 72323, 94940, 18080, 8591, 42831, 76685, 67989, 28979, 10636, 12963, 87711, 22730, 66859, 42618, 95761, 47819, 13860, 53411, 40235, 46172, 69092, 46356, 27951, 28103, 29986, 40635, 27258, 63801, 51696, 94120, 19008, 17054, 49914, 71907, 37737, 60373, 99196, 7133, 42904, 60487, 13249, 39818, 64518, 33694, 25913, 83518, 52510, 90311, 27810, 39892, 70727, 76123, 29341, 31031, 23217, 81150, 63570, 50919, 49684, 94161, 42183, 5414, 43237, 57443, 59814, 9322, 61471, 34067, 28331, 59092, 35707, 32700, 39439, 61115, 32908, 29807, 63726, 23323, 50748, 30871, 78872, 54640, 85401, 63449, 22902, 11311, 59347, 47788, 59252, 64862, 10319, 7673, 91151, 81390, 98463, 43832, 84111, 50598, 63895, 14648, 83092, 20963, 14397, 46589, 53233, 93671, 72658, 33657, 66305, 40870, 79157, 96897, 37718, 20522, 7588, 96917, 82707, 10106, 34924, 82994, 78139, 84193, 94191, 65117, 21764, 85070, 17527, 16736, 24206, 85216, 80575, 84950, 76130, 52457, 64862, 20623, 88490, 13110, 78875, 11855, 75792, 78819, 22785, 34405, 12192, 42410, 27812, 63587, 56119, 41010, 54271, 52533, 98399, 6840, 69346, 33615, 30037, 41358, 19472, 24762, 18918, 30403, 10959, 27237, 92424, 99616, 40532, 6177, 42623, 80929, 53710, 27528, 48706, 99839, 72228, 29736, 7223, 40773, 52948, 40580, 47316, 11909, 38893, 99274, 86838, 83833, 22462, 30205, 97013, 78133, 85807, 42812, 37063, 37676, 69554, 24112, 21967, 76931, 21899, 58552, 83863, 51944, 77124, 30585, 26157, 94819)
Average QPS expected = 50692
Timestamp start: 1653409441583
Timestamp end: 1653411242205

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      534.1  1531.7    74.4   142.9   167.6   327.4   398.5   439.6   469.0   505.8   564.6   874.8  6539.8 24488.7 37157.0  62550.0    62699
read      336.9   336.3    80.4   138.3   159.1   308.0   381.1   422.1   449.6   478.6   514.1   575.5   792.9  3884.0 10002.9  52155.0    52312
read      330.5   247.0    74.4   145.0   166.7   301.0   367.2   405.1   432.7   464.2   504.6   576.4   794.0  2882.0  8130.8  97312.7    97181
read      350.3   382.2    80.4   141.1   162.0   312.1   385.5   426.7   454.8   486.4   528.5   603.8  1061.8  3894.3 15294.3  65561.3    65506
read      351.5   370.0    86.8   146.9   168.3   319.9   385.3   422.2   447.2   476.5   524.0   596.1   794.4  4944.9 13517.4  11392.7    11428
read      420.1   417.9    86.8   143.3   165.2   347.2   454.0   533.4   598.4   679.6   779.2   916.7  1157.6  2780.3 15932.1  28944.3    28887
read      503.9   864.4    80.4   161.3   190.6   353.0   430.4   484.2   534.9   622.5   836.9  1377.8  2560.8 11121.4 31352.1  93877.0    93676
read      345.1   363.2    80.4   141.6   162.5   314.2   386.9   426.7   454.2   485.1   524.2   586.4   804.4  4298.9 11129.0  62284.7    62129
read      339.3   260.3    74.4   139.1   159.7   311.6   383.8   425.2   453.5   484.1   521.9   582.6   836.7  3404.7  8582.4  59440.0    59421
read      355.1   451.1    80.4   139.1   159.9   319.0   392.3   431.7   460.9   495.6   540.0   616.0   919.1  5053.3 22086.6  50198.7    50331
read      340.1   287.9    80.4   137.2   157.7   310.2   381.2   421.5   449.9   481.4   522.1   588.7   846.9  3890.6  9797.2  56002.0    55956
read      341.1   436.7    74.4   135.6   155.9   303.0   375.7   416.5   444.9   474.8   512.3   577.3   877.9  4300.3 14831.9  55616.7    55536
read      422.7   432.9    80.4   136.0   156.3   319.5   435.1   512.5   587.4   697.7   843.6  1040.4  1407.2  3685.1 13231.6  39258.0    39047
read      407.6   493.5    80.4   142.7   163.7   341.6   442.2   512.4   567.1   631.0   704.5   817.1  1043.5  5336.0 28778.2  21985.3    21846
read      412.7   314.0    80.4   140.2   161.1   332.5   441.7   518.2   588.9   676.2   796.0   957.8  1244.4  1887.8  9236.5  37309.0    37453
read      423.0   344.6    80.4   143.1   163.7   340.3   456.7   544.5   616.4   702.6   802.6   929.2  1225.8  3625.9 11464.7  28914.3    28799
read      426.7   514.2    80.4   142.9   163.7   335.5   446.9   527.4   598.4   680.7   787.8   961.8  1341.1  4323.1 16301.5  33092.7    33197
read      402.7   412.0    80.4   139.4   160.5   332.7   441.3   513.3   576.1   645.4   730.3   865.3  1093.2  2681.4 15156.5  29494.0    29317
read      513.6   938.5    80.4   165.5   197.0   371.2   452.2   504.2   549.7   625.0   772.4  1225.0  2663.3  9835.3 32462.2  98915.3    98732
read      332.4   253.5    80.4   144.4   165.3   302.1   368.8   406.4   433.6   465.1   506.8   578.8   826.0  2647.1  8659.7  95346.3    95242
read      354.8   453.0    80.4   139.5   160.1   315.6   389.9   431.3   460.3   493.8   536.1   606.5   914.5  5620.1 21830.9  64571.7    64622
read      345.1   359.6    80.4   140.8   161.7   309.4   382.4   423.7   451.9   482.9   523.4   589.4   861.4  4636.7 12899.8  66889.3    67050
read      370.7   457.2    80.4   139.9   160.2   326.3   414.5   465.1   504.8   550.8   606.8   693.4   868.1  5013.6 25278.9  17607.7    17535
read      481.9   614.6    74.4   146.1   170.1   339.1   449.6   532.3   610.6   723.1   900.3  1205.6  2525.9  6935.5 16751.7  58400.7    58453
read      425.9   494.5    80.4   143.0   164.3   340.9   456.3   540.9   604.3   677.2   775.0   914.3  1236.6  5611.3 21697.0  27558.0    27716
read      542.1  1102.5    74.4   152.4   180.7   352.1   435.0   489.3   535.0   605.1   857.6  1619.8  2929.5 12620.4 35399.6  80504.0    80564
read      333.0   314.7    80.4   143.8   165.3   302.3   369.3   407.3   434.5   464.7   503.8   574.1   816.0  2850.7 12657.3  92608.3    92698
read      346.2   430.6    80.4   139.9   160.5   307.5   380.8   423.0   451.4   481.4   517.2   579.2   924.9  4693.7 13883.5  56928.0    57099
read      331.6   283.2    80.4   138.8   159.5   303.1   372.9   411.6   439.3   469.5   507.5   571.8   796.0  2703.9 11550.3  75896.3    75771
read      370.3  1021.5    93.8   157.9   181.3   298.5   350.4   379.8   400.1   424.8   457.6   520.6   844.2 11413.7 42628.7   6590.7     6569
read      523.6  1139.5    80.4   144.9   170.1   336.7   419.6   469.9   510.8   574.8   747.0  1383.8  5197.0 11509.3 32364.7  61257.7    61563
read      341.3   294.0    80.4   139.4   160.0   313.3   385.3   425.9   453.1   482.9   522.0   588.7   837.0  3477.7  8702.2  53155.3    53286
read      404.4   361.3    80.4   140.4   161.0   328.1   433.0   494.5   559.1   642.7   743.7   899.1  1201.0  4206.0 12308.3  30900.0    31013
read      349.9   328.1    86.8   145.3   167.6   324.4   399.8   436.6   462.2   493.5   532.7   592.3   723.7  4675.5 11878.7  11209.3    11068
