Random waveform, random seed
Total number of intervals = 600 (17418, 97213, 28177, 37578, 38293, 94367, 71224, 61763, 89247, 98084, 28984, 11011, 51382, 43963, 91287, 96850, 9034, 75742, 86595, 88377, 9263, 28787, 17041, 28494, 31269, 23354, 16836, 96555, 88891, 7577, 5710, 76951, 77969, 89861, 67660, 11568, 12028, 44602, 99956, 57916, 38206, 55777, 83301, 8035, 6841, 75158, 55550, 83886, 66827, 80416, 82141, 89959, 95528, 16659, 74204, 76818, 31002, 7861, 29947, 34034, 49237, 89312, 44317, 63920, 52884, 23573, 77456, 10113, 61871, 99175, 40794, 36823, 76942, 26255, 23924, 84741, 93531, 78995, 33065, 92461, 59792, 22694, 29585, 31291, 23652, 79337, 80696, 25421, 75274, 14365, 76180, 35277, 28727, 55634, 71243, 91680, 40591, 42244, 81866, 32600, 75909, 42293, 48075, 38819, 89744, 96874, 29732, 43456, 27340, 23355, 32754, 92847, 88771, 81873, 51409, 27384, 90429, 7764, 8515, 97597, 13213, 12841, 34035, 69292, 86344, 38841, 80072, 84302, 22255, 71227, 11824, 29755, 48964, 59941, 57515, 41627, 75043, 25889, 47055, 85202, 45095, 20747, 86350, 45464, 53131, 73951, 94334, 86311, 65078, 39749, 40258, 51585, 34686, 84138, 13209, 42464, 80367, 8224, 40547, 55800, 9946, 10746, 59198, 16993, 73537, 78380, 64179, 33741, 54722, 37642, 62968, 8903, 54217, 95803, 79442, 40300, 87783, 94569, 46263, 74598, 53653, 15178, 59747, 32961, 59968, 28633, 95468, 57622, 41988, 53071, 21444, 26541, 93439, 66211, 74042, 23065, 97740, 45777, 88867, 80011, 17841, 77854, 59289, 18117, 66375, 86303, 17423, 74971, 43037, 16793, 42403, 5926, 83291, 36976, 91368, 28443, 39635, 23343, 10222, 85556, 14539, 68552, 97504, 76462, 23589, 57231, 20143, 5983, 6672, 91700, 86840, 27700, 85548, 57817, 75185, 34279, 82700, 85136, 72076, 31672, 51495, 34098, 75979, 80477, 59460, 51029, 7518, 53715, 25201, 86334, 68466, 70997, 52493, 97365, 24540, 92258, 61596, 34141, 34040, 51650, 84510, 11418, 52675, 17797, 5867, 52619, 26866, 36770, 54384, 46370, 76122, 5564, 83576, 70472, 64755, 29037, 41816, 7902, 54755, 21304, 48725, 42008, 17905, 17935, 49079, 94759, 7230, 58148, 41963, 12041, 75650, 59962, 32180, 43923, 84086, 9479, 56063, 55950, 61795, 55744, 19107, 71166, 31992, 24395, 23882, 43900, 85570, 45119, 41022, 68789, 86968, 85781, 83708, 7548, 85041, 92424, 10520, 59463, 9967, 83850, 20931, 39430, 10097, 73316, 70315, 78855, 58950, 34061, 26583, 25395, 22164, 47101, 7444, 55024, 63245, 99038, 21467, 31580, 31003, 25606, 44132, 83533, 19348, 40871, 88113, 37297, 62999, 62404, 24820, 36437, 49684, 98034, 46819, 23705, 9975, 24359, 92062, 10116, 16577, 12756, 16988, 85581, 47151, 96117, 44337, 6791, 97379, 62678, 72481, 7049, 61614, 56233, 51538, 91726, 58160, 47979, 46185, 6860, 22291, 97632, 40309, 60196, 60423, 88920, 14690, 35261, 45626, 23089, 25761, 81256, 33855, 69609, 94672, 79426, 59732, 56920, 10299, 51263, 30355, 59641, 50211, 31826, 81725, 33173, 10625, 25463, 23691, 76256, 82131, 24907, 74732, 29155, 35884, 69804, 48927, 11165, 81672, 92727, 68536, 12576, 32299, 55056, 43742, 88941, 91448, 45277, 49078, 79868, 73041, 9906, 5273, 37743, 66565, 44521, 67932, 18355, 75096, 66852, 22652, 80368, 26106, 86510, 85062, 60837, 15692, 56199, 57182, 44697, 85844, 98775, 55113, 51278, 10715, 11595, 80377, 81735, 14354, 92873, 54208, 45583, 50647, 35217, 63982, 53434, 44982, 25270, 9744, 36316, 8163, 60677, 78141, 28958, 52548, 70995, 99631, 96588, 62179, 42899, 65734, 40265, 72872, 25630, 78362, 37586, 79918, 68360, 95543, 85988, 55398, 83385, 93915, 85689, 61933, 90809, 36588, 35615, 12566, 56567, 71656, 93985, 14495, 83909, 68620, 85055, 44117, 15731, 55124, 35571, 31600, 83346, 6518, 65448, 74342, 21238, 68059, 78146, 16764, 29564, 73992, 27536, 85713, 75618, 90405, 84746, 66734, 30301, 99437, 74524, 47418, 22884, 85716, 29005, 78422, 90558, 97756, 38862, 53904, 55975, 99896, 84445, 49400, 73250, 95118, 63731, 8136, 81005, 99286, 95437, 6891, 69320, 77269, 96020, 21816, 98583, 64985, 88581, 14317, 33777, 7635, 20501, 38075, 40025, 34643, 25257, 77616, 33221, 58792, 35289, 51684, 85690, 70064, 43046, 65071, 16409, 45106, 12643, 22246, 5112, 89121, 65052, 66598, 22109, 85636, 23389, 22484, 16695, 97121, 6142, 9706, 64185, 38869, 73147, 72674, 7226, 81473, 76412, 48155, 52025, 25762, 96551)
Average QPS expected = 52369
Timestamp start: 1653397711042
Timestamp end: 1653399511788

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      405.9   640.6    86.8   150.8   174.3   351.8   448.2   502.5   540.5   585.3   641.7   726.1   928.4  6565.5 32443.2  17451.7    17418
read      528.8  1148.3    80.4   169.4   200.3   365.8   436.7   481.2   517.9   572.0   677.2  1059.2  4362.6 16421.5 32343.9  97033.7    97213
read      414.0   545.6    80.4   145.7   168.1   345.3   446.1   501.2   544.2   602.8   684.6   806.9  1218.2  6596.9 25690.7  28005.7    28177
read      442.7   413.1    80.4   148.8   170.5   351.5   469.6   544.3   611.6   691.7   802.2  1014.9  1428.6  4538.1 13835.6  37398.7    37578
read      431.0   436.4    86.8   148.1   170.0   346.3   467.3   545.1   610.3   687.7   782.7   950.6  1336.3  2696.2 20238.0  38364.7    38293
read      430.3   524.1    80.4   150.5   175.8   331.2   403.5   454.8   496.3   553.1   670.1  1146.3  1883.8  6048.3 15640.4  94150.0    94367
read      329.4   252.2    74.4   140.5   161.2   298.8   368.7   410.6   442.5   478.7   519.6   576.4   762.8  2090.8  7869.2  71245.7    71224
read      339.8   274.0    80.4   138.9   159.7   305.3   378.3   421.5   453.6   489.6   531.8   592.7   846.4  3374.9  7756.7  61792.3    61763
read      341.7   324.9    80.4   142.0   163.2   302.1   370.0   410.2   440.3   476.2   524.4   600.0   910.6  4560.7 11977.8  89284.7    89247
read      329.7   250.2    80.4   144.9   166.0   300.7   365.4   403.1   432.4   467.0   510.5   580.8   767.9  2127.5 11314.9  98181.0    98084
read      423.4   468.2    80.4   145.2   167.5   349.0   457.4   523.9   578.8   650.8   740.2   873.2  1259.9  6131.3 19213.5  28964.0    28984
read      360.4   422.6    80.4   151.0   172.4   328.0   411.1   449.9   474.2   503.7   540.7   594.7   741.3  4862.7 12878.7  11034.3    11011
read      451.5   379.0    80.4   151.4   176.9   358.4   475.8   549.1   617.6   704.0   813.5  1040.2  1578.6  4274.5  9794.7  51436.7    51382
read      466.0   550.2    80.4   147.1   171.5   355.2   480.4   559.9   635.2   735.5   866.2  1123.8  1599.0  6137.6 15488.4  44145.3    43963
read      389.1   387.3    80.4   147.5   170.8   315.2   385.5   429.5   464.0   505.7   572.1   854.7  1755.1  4007.9 13000.2  91156.3    91287
read      341.4   352.9    80.4   147.4   168.7   304.2   370.2   409.1   438.8   474.6   523.0   600.8   888.4  3377.1 13238.6  96882.7    96850
read      334.6   429.1    93.8   152.1   173.4   309.6   366.2   394.8   414.7   437.4   468.2   518.8   667.9  4053.4 30349.1   9028.3     9034
read      555.9  1051.5    86.8   158.5   186.0   359.5   453.7   518.6   585.8   739.1  1004.3  1480.0  3284.4 10187.4 32232.8  75510.7    75742
read      333.6   324.5    74.4   140.8   162.0   296.7   365.1   404.3   435.0   472.2   519.8   591.3   852.3  2729.8 14458.3  86830.7    86595
read      329.0   294.9    80.4   140.3   161.0   296.8   364.8   403.5   433.0   467.8   511.0   581.6   784.5  2659.4 10588.1  88538.0    88377
read      358.5   573.9    86.8   152.0   174.9   313.2   378.1   414.2   440.2   467.8   502.1   558.5   789.2  8329.8 16543.4   9300.3     9263
read      432.3   370.0    80.4   149.0   171.9   359.5   481.0   556.2   617.3   692.3   784.4   918.6  1189.3  2816.8 12820.6  28656.3    28787
read      402.8   380.1    86.8   152.8   176.6   357.3   454.2   513.7   555.6   600.9   658.1   743.6   923.9  4481.8 13876.8  17133.0    17041
read      439.0   612.2    80.4   152.1   175.8   363.0   476.6   547.7   600.2   662.6   743.9   873.9  1179.1  8255.1 28694.8  28488.7    28494
read      425.0   345.3    86.8   147.3   169.7   349.1   467.0   544.2   601.2   682.2   780.2   923.8  1212.6  2508.1 12649.3  31143.0    31269
read      417.0   384.0    86.8   147.5   169.6   354.9   465.1   534.0   585.5   645.4   724.9   828.1  1084.4  4615.7 13435.1  23298.7    23354
read      399.4   339.8    80.4   149.4   171.9   353.3   458.2   517.0   556.7   604.3   668.3   755.0   921.2  3808.4 13678.5  16824.3    16836
read      604.3  1116.0    80.4   187.3   225.5   401.4   493.1   564.3   636.0   750.2   992.2  1539.0  4326.7 11386.1 32316.5  96498.3    96555
read      343.7   343.9    80.4   145.2   166.6   305.1   373.2   413.3   442.7   477.7   523.8   597.8   860.3  4784.8 11032.9  88634.7    88891
read      324.2   254.5    86.8   154.3   176.6   302.6   353.7   389.9   413.0   436.4   468.4   516.2   629.8  4408.8  8699.0   7601.7     7577
read      331.9   436.9    93.8   168.2   191.7   306.1   351.2   377.0   395.4   416.4   441.8   487.0   638.5  6148.2 19972.6   5743.7     5710
read      505.1  1012.5    80.4   151.8   178.2   350.1   434.2   490.1   536.4   611.2   752.8  1121.3  3964.7 10049.5 35962.9  76534.3    76951
read      338.6   308.2    80.4   144.3   165.6   304.4   369.6   410.0   439.1   472.3   514.9   582.3   859.5  4180.0  9345.5  78231.0    77969
read      344.2   325.6    74.4   148.1   169.9   309.6   375.9   416.6   446.5   482.4   529.8   608.8   831.9  3218.6 11651.7  89939.0    89861
