#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      319.8   445.3    86.8   172.6   191.9   280.7   318.2   341.6   360.8   384.8   419.5   486.0   696.1  7826.2 14806.5   4926.8     5000  1651954128000  1651954133322
read      350.2   214.9    93.8   166.3   190.4   329.1   389.4   421.9   445.4   472.0   507.9   568.7   749.6  2977.6  7727.6  10095.8    10000  1651954134826  1651954140095
read      389.1   323.5    86.8   161.4   186.8   355.0   431.2   478.1   510.1   547.5   596.3   675.9   916.2  3843.9 12208.1  14958.8    15000  1651954141599  1651954146850
read      389.9   267.7    86.8   153.8   176.5   352.7   445.3   499.2   536.3   579.1   633.1   718.9   926.4  3228.9  9350.9  20027.4    20000  1651954148354  1651954153602
read      394.4   265.3    80.4   151.5   172.8   348.9   447.1   508.5   552.8   606.0   669.5   769.2   990.3  2768.8  8461.2  25010.7    25000  1651954155105  1651954160355
read      412.5   289.4    80.4   152.9   175.4   357.5   465.8   534.8   585.1   642.3   713.4   829.4  1079.0  3034.4  9293.0  29991.8    30000  1651954161858  1651954167114
read      405.2   280.9    80.4   149.9   170.7   339.3   452.7   529.8   586.9   650.1   727.0   851.8  1101.0  2191.4  7791.8  34912.8    35000  1651954168618  1651954173866
read      412.9   305.6    74.4   149.2   169.8   335.5   452.8   528.5   587.7   661.4   761.7   930.0  1220.3  1871.2 11657.3  40044.0    40000  1651954175370  1651954180630
read      405.0   283.5    74.4   149.0   169.0   321.8   440.7   517.8   580.4   655.1   754.1   918.2  1246.9  1700.7  8083.3  45112.2    45000  1651954182134  1651954187382
read      402.6   303.5    74.4   148.6   168.9   318.0   429.6   500.3   561.6   634.0   739.6   939.3  1307.2  2014.3  9179.2  49832.2    50000  1651954188885  1651954194138
read      397.7   335.7    74.4   141.2   160.3   297.3   409.6   487.5   554.5   641.5   768.2  1006.0  1370.0  1920.6 12098.2  54836.8    55000  1651954195641  1651954200894
read      394.9   334.1    74.4   139.9   159.2   297.4   402.7   474.4   534.4   619.1   744.1  1007.3  1480.8  2030.5  9989.0  60256.6    60000  1651954202398  1651954207650
read      388.8   311.1    74.4   141.3   161.0   297.6   400.3   470.2   530.1   610.9   731.4   968.0  1412.8  1955.7  7312.3  64802.4    65000  1651954209154  1651954214402
read      395.4   341.7    68.9   140.9   160.7   296.6   399.1   470.4   529.9   612.0   741.9  1006.9  1539.7  2370.9 10168.5  70002.4    70000  1651954215905  1651954221168
read      386.6   330.4    74.4   140.6   159.8   287.0   378.3   443.0   499.5   587.2   731.5  1026.3  1580.3  2292.2  7915.0  74923.0    75000  1651954222671  1651954227951
read      388.8   332.8    68.9   143.9   163.9   296.8   393.1   455.7   507.5   581.2   698.1   984.9  1564.3  2251.9  9085.5  80122.3    80000  1651954229454  1651954234710
read      369.5   288.6    68.9   145.5   164.9   288.6   372.5   430.2   478.5   553.0   664.0   894.6  1388.4  2091.3  6101.3  85035.8    85000  1651954236214  1651954241467
read      408.2   315.5    74.4   157.0   179.7   323.5   419.5   479.5   532.2   600.3   712.0   951.3  1588.8  2733.3  7657.9  89949.1    90000  1651954242970  1651954248230
read      458.4   406.7    74.4   163.6   187.8   334.5   437.0   516.7   591.7   702.6   892.0  1224.9  1884.7  2969.5 10086.6  94629.2    95000  1651954249734  1651954254979
read      394.1   323.7    74.4   153.1   175.1   307.8   393.4   449.8   500.3   570.4   685.8   961.3  1607.0  2536.1  9316.1 100018.8   100000  1651954256483  1651954261729
read      498.6   616.7    74.4   164.3   190.8   348.9   463.2   548.0   631.3   767.9   986.9  1341.3  2021.0  7267.2 27248.9 104615.2   105000  1651954263232  1651954268479
read      612.0   670.2    80.4   203.8   228.9   379.8   568.6   750.9   910.8  1111.0  1391.0  1629.6  2342.0  7159.6 25170.2 105461.2   110000  1651954269982  1651954275227
read      629.0   625.6    86.8   204.8   230.0   378.3   574.0   801.1   989.9  1240.2  1464.3  1677.0  2534.9  5717.7 14623.5 103582.6   115000  1651954276730  1651954281977
read      621.3   891.8    86.8   204.1   230.5   385.2   572.0   733.6   877.2  1056.4  1332.2  1593.3  2422.0 12288.7 32287.2 106428.8   120000  1651954283482  1651954288746
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 68.00%,1.01%,100.00%
