#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      290.1   314.6    93.8   173.4   192.1   263.6   290.1   306.4   318.7   337.4   366.3   426.9   608.7  4877.9 12471.5   4928.8     5000  1651956975212  1651956980492
read      313.6   349.5    86.8   168.4   193.8   301.0   333.3   349.9   363.2   377.8   400.1   442.2   584.6  4537.5  8138.9  10003.0    10000  1651956981994  1651956987266
read      322.3   275.2    80.4   161.6   186.0   313.5   353.4   373.8   390.4   408.7   433.5   482.0   630.7  3789.5  9056.8  14967.8    15000  1651956988769  1651956994029
read      332.8   256.8    86.8   160.2   183.9   322.6   369.6   395.6   414.5   435.8   465.1   514.6   666.1  2644.9 11668.7  19966.8    20000  1651956995531  1651957000786
read      337.9   220.3    86.8   155.0   177.2   325.1   379.1   408.2   429.2   453.8   486.2   543.2   730.2  3773.3  7993.0  24909.2    25000  1651957002289  1651957007558
read      349.6   221.5    86.8   157.9   181.8   336.9   391.4   422.2   444.7   469.5   505.2   572.3   778.7  2688.9  7940.1  29961.2    30000  1651957009062  1651957014335
read      359.3   194.7    86.8   159.6   183.4   344.5   404.5   437.5   461.8   491.1   532.3   612.3   857.3  1649.8  5646.6  35031.8    35000  1651957015837  1651957021115
read      355.4   222.6    80.4   154.4   175.7   328.1   397.2   435.6   464.5   500.6   548.8   640.5   922.1  1557.6  6753.9  40071.0    40000  1651957022618  1651957027868
read      360.9   201.2    80.4   155.3   179.1   344.2   405.4   440.6   466.7   499.4   542.2   628.5   919.7  1556.8  6350.5  44924.8    45000  1651957029371  1651957034627
read      348.1   224.1    80.4   150.1   170.8   327.1   390.9   426.6   453.6   485.9   530.5   615.9   895.4  2011.6  6459.3  50067.3    50000  1651957036130  1651957041390
read      348.1   244.4    80.4   151.2   172.3   323.0   390.7   427.3   455.4   488.8   533.9   618.9   892.8  1559.9  6547.4  54998.4    55000  1651957042892  1651957048154
read      339.1   192.6    80.4   149.3   170.2   317.3   381.8   415.8   441.7   474.8   518.7   597.1   857.0  1468.8  6704.6  59753.2    60000  1651957049656  1651957054908
read      333.4   227.3    80.4   144.5   164.7   303.8   373.0   409.8   438.0   471.3   517.8   600.8   899.3  1546.8  7896.4  64913.2    65000  1651957056411  1651957061654
read      328.2   208.6    68.9   141.1   159.6   287.8   361.1   400.5   430.8   468.5   522.2   626.7  1017.8  1766.9  6632.9  70012.2    70000  1651957063158  1651957068422
read      324.0   201.2    68.9   142.6   162.1   292.9   361.3   397.9   426.0   461.1   507.5   591.4   889.1  1516.4  5263.2  74808.6    75000  1651957069925  1651957075172
read      324.4   214.2    80.4   139.7   158.6   290.9   360.5   396.7   425.1   460.3   509.1   606.6   923.7  1570.0  6408.3  79986.0    80000  1651957076675  1651957081923
read      310.5   188.1    74.4   138.4   155.7   275.3   341.3   376.7   403.7   440.4   491.1   584.5   904.7  1571.0  5339.9  84862.4    85000  1651957083426  1651957088671
read      318.4   180.4    74.4   141.7   160.1   283.8   351.9   388.2   415.3   451.1   501.5   593.5   927.0  1629.9  3955.7  90147.8    90000  1651957090175  1651957095442
read      307.1   209.8    68.9   139.1   156.5   273.2   337.3   371.6   397.3   430.5   478.3   561.6   867.4  1615.3  8156.1  94856.4    95000  1651957096946  1651957102195
read      310.2   199.9    80.4   138.8   156.2   273.6   338.4   374.0   401.2   436.6   489.2   584.7   923.2  1677.0  5717.7  99975.0   100000  1651957103698  1651957108954
read      306.1   201.8    74.4   138.9   157.1   274.7   337.1   370.1   394.8   426.2   470.7   550.7   863.8  1650.6  6220.0 105068.6   105000  1651957110457  1651957115700
read      308.4   184.5    74.4   143.8   162.2   277.8   338.5   371.0   395.8   427.3   472.5   552.2   871.1  1624.6  4210.6 109757.4   110000  1651957117203  1651957122455
read      310.6   172.8    74.4   147.0   167.3   285.3   340.5   369.7   392.4   421.7   464.8   544.5   842.5  1535.6  4894.0 114950.0   115000  1651957123958  1651957129202
read      296.1   177.5    74.4   141.9   160.7   271.7   324.3   353.3   374.6   403.1   444.2   514.9   779.5  1464.4  4572.9 120011.4   120000  1651957130704  1651957135962
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 87.12%,48.48%,100.00%
