ubuntu@client-measure-38j0:~/memcache-perf-dynamic$ ./mcperf -s 10.156.0.45 -a 10.156.0.44 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1800 --qps_interval 10 --qps_min 5000 --qps_max 100000
Random waveform, random seed
Total number of intervals = 180 (93033, 83338, 73337, 48277, 8810, 6621, 79850, 63136, 78326, 95470, 90283, 35231, 26411, 84688, 58242, 93555, 16981, 56139, 96592, 33151, 18440, 77805, 78472, 76224, 16651, 22303, 9362, 80676, 78310, 28075, 26415, 59963, 53656, 75984, 74978, 71271, 98709, 95580, 46280, 86952, 94862, 39777, 39023, 7531, 81175, 99083, 8223, 31855, 86511, 7455, 46844, 54542, 51870, 78139, 85169, 66556, 75547, 41490, 39790, 64403, 89849, 57398, 77252, 9490, 41079, 75531, 57920, 7212, 39161, 40641, 33929, 89109, 52208, 53358, 93933, 92382, 65408, 75191, 44037, 14272, 39826, 17699, 60691, 22278, 76403, 76170, 63917, 99833, 78791, 27333, 8529, 35334, 46811, 84440, 64800, 19369, 13281, 12260, 46783, 82008, 38136, 6565, 87407, 54487, 66256, 73579, 23629, 67733, 97656, 66502, 21517, 17103, 20652, 96810, 88816, 80558, 88952, 76411, 32634, 78647, 72742, 14576, 22504, 69897, 83514, 73036, 19473, 54572, 77156, 99621, 30063, 94128, 46033, 15324, 44734, 39572, 14842, 20629, 95625, 33481, 54887, 41304, 47541, 98244, 67616, 31298, 37651, 26110, 56017, 35809, 44588, 53954, 51549, 89191, 14770, 53596, 14673, 38491, 89969, 68028, 32055, 37193, 28379, 94935, 22842, 45661, 36908, 85438, 27437, 42518, 33624, 95444, 37788, 47233, 41812, 38280, 54616, 49483, 53270, 36048)
Average QPS expected = 54139
Timestamp start: 1652880407576
Timestamp end: 1652882207993

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      646.1   403.6   101.3   213.1   257.2   585.4   737.8   824.7   890.3   973.3  1085.6  1273.7  1724.2  3122.9 12218.9  93124.3    93033
read      507.5   433.6    93.8   196.4   224.3   396.7   501.8   574.6   639.4   735.7   898.5  1212.7  2100.8  3513.4 11925.7  83301.3    83338
read      444.5   427.9    93.8   168.9   194.5   340.9   426.7   485.0   530.4   593.4   726.2  1128.6  2119.0  3616.1 11773.7  73302.3    73337
read      449.3   470.9    86.8   165.5   187.5   331.7   429.6   500.7   548.3   618.9   745.6  1272.1  1954.1  4268.2 13113.2  48224.2    48277
read      429.5   740.9   109.4   184.9   212.4   388.5   448.9   476.9   497.2   520.2   547.6   601.7  1324.3 10541.3 32170.6   8789.1     8810
read      429.1   906.4   109.4   192.9   221.0   374.4   419.0   441.3   458.4   477.6   504.5   552.3  2144.2 10147.8 32213.1   6583.1     6621
read      452.8   355.6    93.8   185.6   211.6   365.8   455.5   511.4   556.7   625.9   746.4  1041.1  1851.1  3108.2  9025.0  79656.4    79850
read      438.0   440.4    86.8   172.4   195.4   338.6   425.8   483.8   528.4   586.9   692.0  1056.2  2055.7  3766.1 12484.2  63413.7    63136
read      452.1   412.5    86.8   186.1   210.3   354.2   438.1   495.1   539.4   605.1   730.5  1096.9  2030.1  3298.2 10976.6  78238.5    78326
read      705.3   379.4    93.8   216.9   285.4   671.6   803.6   882.6   941.5  1019.7  1126.8  1297.1  1686.8  2629.0 10033.3  95283.2    95470
read      692.2   402.6   101.3   206.2   259.4   658.5   793.9   873.1   936.2  1015.1  1124.1  1303.4  1706.7  2765.0 12131.4  90118.7    90283
read      457.5   536.1   101.3   171.7   195.2   358.8   472.5   542.9   588.4   656.0   755.0  1071.9  1566.5  5833.4 17561.3  35129.7    35231
