#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      326.9   255.5   173.5   219.0   229.2   296.2   335.1   358.6   375.4   397.8   427.1   474.7   660.3  3494.9 10667.7  29983.1    30000
read      330.0   280.2   160.7   220.2   231.1   299.8   337.7   360.9   377.8   399.3   428.3   476.9   656.9  3542.0 11845.3  29963.6    30010
read      327.7   276.5   160.7   220.0   230.4   296.7   335.1   358.8   375.8   397.2   425.2   470.4   657.1  3626.9 12000.3  30004.9    30020
read      333.5   297.6   173.5   220.7   231.9   301.6   341.6   365.9   383.8   404.0   432.4   480.4   670.7  3758.8 12753.7  30041.9    30030
read      328.6   253.4   160.7   218.6   228.8   300.3   340.0   363.6   380.8   401.1   428.6   471.1   638.4  3346.9 10724.2  30031.9    30040
read      325.4   244.1   160.7   215.8   226.6   296.4   336.9   361.3   378.8   400.4   429.4   476.2   637.5  3174.1 10204.0  30047.8    30050
read      332.1   250.1   160.7   219.9   230.8   302.7   343.4   367.6   385.6   406.1   435.0   485.4   659.0  3262.0 10033.1  30040.2    30060
read      323.7   262.0   160.7   217.6   227.6   294.5   332.2   355.1   372.5   394.8   423.9   470.8   639.3  3078.3 11203.2  30058.5    30070
read      329.6   250.1   160.7   221.3   233.0   301.0   338.6   361.8   378.5   399.2   427.6   474.1   647.6  3396.7 10521.4  30054.5    30080
read      322.6   269.2   160.7   215.7   226.2   292.1   330.5   354.1   371.5   393.1   421.5   468.3   640.3  3558.9 12033.7  30025.0    30090
read      324.1   230.7   160.7   219.0   229.0   295.5   334.6   358.2   375.0   396.1   423.2   468.6   639.0  3121.1  9644.9  30102.9    30100
read      326.3   251.2   160.7   217.8   228.0   296.8   337.6   362.1   379.6   399.9   426.7   469.4   635.0  3189.0 10707.8  30118.7    30110
read      327.7   254.4   160.7   216.0   226.6   296.9   339.7   365.1   383.5   404.0   432.0   475.7   664.7  3199.5 11479.0  30083.9    30120
read      331.2   263.6   160.7   219.4   229.8   300.4   341.3   366.2   384.9   406.5   434.7   482.5   666.8  3555.0 10100.9  30101.7    30130
read      330.0   237.3   160.7   220.2   231.3   300.8   339.7   363.5   381.3   403.0   433.7   485.1   665.0  3086.8  9885.1  30133.3    30140
read      323.6   234.4   160.7   217.5   228.0   294.9   331.7   354.2   371.3   393.4   423.1   471.6   646.6  3314.7  9670.1  30139.4    30150
